County Name,County Number,District Abbreviation,District Name,Square Miles,Statewide Percent of Square Miles,Per Capita Square Miles,Registered Vehicles,Statewide Percent of Registered Vehicles,Per Capita Registered Vehicles,Population Estimate**,Statewide Percent of Population Estimate**, Daily Vehicle Miles* ,Statewide Percent of Daily Vehicle Miles*,Per Capita Daily Vehicle Miles*,Center Line Miles*,Statewide Percent of Center Line Miles*,Per Capita Center Line Miles*, Lane Miles* ,Statewide Percent of Lane Miles*,Per Capita Lane Miles*, Construction Expenditures ,Statewide Percent of Construction Expenditures,Per Capita Construction Expenditures, Non-Contract Maintenance Expenditures ,Statewide Percent of Non-Contract Maintenance Expenditures,Per Capita Non-Contract Maintenance Expenditures,Contract Maintenance Expenditures,Statewide Percent of Contract Maintenance Expenditures,Per Capita Contract Maintenance Expenditures,Combined Construction & Maintenance Expenditures,Statewide Percent of Combined Construction & Maintenance Expenditures,Per Capita Combined Construction & Maintenance Expenditures,,
Kenedy,66,PHR,Pharr,"1,459 ",0.56%,4.32 ,949,0.00%,2.81 ,338,0.00%,"467,163.283",0.07%,"1,382.140 ",49.330,0.06%,0.146 ,192.050,0.10%,0.568 ,"$54,915,689",0.45%,"$162,472 ","$127,150",0.02%,$376 ,"$500,554",0.01%,"$1,481 ","$55,543,392",0.33%,"$164,330 ",,
Kent,132,ABL,Abilene,903 ,0.35%,1.24 ,"1,052",0.00%,1.44 ,730,0.00%,"53,867.144",0.01%,73.791 ,161.351,0.20%,0.221 ,322.702,0.16%,0.442 ,"-$302,187",0.00%,($414),"$932,484",0.15%,"$1,277 ","$1,191,174",0.03%,"$1,632 ","$1,821,471",0.01%,"$2,495 ",,
Kerr,133,SAT,San Antonio,"1,103 ",0.42%,0.02 ,"65,442",0.24%,1.21 ,"53,984",0.17%,"1,561,340.520",0.25%,28.922 ,291.175,0.36%,0.005 ,711.771,0.35%,0.013 ,"$3,153,910",0.03%,$58 ,"$1,874,114",0.31%,$35 ,"$5,774,296",0.14%,$107 ,"$10,802,321",0.06%,$200 ,,
Kimble,134,SJT,San Angelo,"1,251 ",0.48%,0.29 ,"6,944",0.03%,1.58 ,"4,383",0.01%,"772,260.284",0.12%,176.194 ,296.004,0.36%,0.068 ,686.406,0.34%,0.157 ,"$2,516,534",0.02%,$574 ,"$1,035,216",0.17%,$236 ,"$7,476,702",0.19%,"$1,706 ","$11,028,452",0.07%,"$2,516 ",,
King,135,CHS,Childress,911 ,0.35%,3.40 ,441,0.00%,1.65 ,268,0.00%,"90,561.281",0.01%,337.915 ,93.644,0.12%,0.349 ,228.721,0.11%,0.853 ,"$265,082",0.00%,$989 ,"$981,404",0.16%,"$3,662 ","$236,455",0.01%,$882 ,"$1,482,940",0.01%,"$5,533 ",,
Kinney,136,LRD,Laredo,"1,361 ",0.52%,0.44 ,"3,823",0.01%,1.23 ,"3,108",0.01%,"227,690.937",0.04%,73.260 ,203.611,0.25%,0.066 ,407.222,0.20%,0.131 ,"$299,875",0.00%,$96 ,"$1,504,720",0.25%,$484 ,"$561,315",0.01%,$181 ,"$2,365,909",0.01%,$761 ,,
Kleberg,137,CRP,Corpus Christi,881 ,0.34%,0.03 ,"26,225",0.10%,0.85 ,"31,032",0.10%,"875,115.617",0.14%,28.200 ,160.046,0.20%,0.005 ,390.118,0.19%,0.013 ,"$54,008,213",0.45%,"$1,740 ","$1,884,656",0.31%,$61 ,"$4,107,423",0.10%,$132 ,"$60,000,291",0.36%,"$1,933 ",,
Knox,138,CHS,Childress,851 ,0.33%,0.26 ,"4,299",0.02%,1.32 ,"3,246",0.01%,"165,836.595",0.03%,51.090 ,219.509,0.27%,0.068 ,469.558,0.23%,0.145 ,"$5,421,171",0.04%,"$1,670 ","$2,011,732",0.33%,$620 ,"$849,594",0.02%,$262 ,"$8,282,497",0.05%,"$2,552 ",,
Lamar,139,PAR,Paris,907 ,0.35%,0.02 ,"13,642",0.05%,0.26 ,"51,503",0.16%,"1,461,060.592",0.23%,28.368 ,448.062,0.55%,0.009 ,"1,013.906",0.50%,0.020 ,"$31,498,582",0.26%,$612 ,"$3,948,944",0.65%,$77 ,"$16,093,189",0.40%,$312 ,"$51,540,715",0.31%,"$1,001 ",,
Lamb,140,LBB,Lubbock,"1,016 ",0.39%,0.08 ,"30,549",0.11%,2.42 ,"12,620",0.04%,"490,529.841",0.08%,38.869 ,359.109,0.44%,0.028 ,802.228,0.40%,0.064 ,"$5,650,334",0.05%,$448 ,"$2,114,074",0.35%,$168 ,"$847,911",0.02%,$67 ,"$8,612,320",0.05%,$682 ,,
Lampasas,141,BWD,Brownwood,713 ,0.27%,0.03 ,"8,160",0.03%,0.35 ,"23,572",0.07%,"698,943.083",0.11%,29.651 ,218.605,0.27%,0.009 ,527.648,0.26%,0.022 ,"$14,587,839",0.12%,$619 ,"$1,785,301",0.29%,$76 ,"$10,191,407",0.25%,$432 ,"$26,564,547",0.16%,"$1,127 ",,
La Salle,142,LRD,Laredo,"1,487 ",0.57%,0.22 ,"54,688",0.20%,8.12 ,"6,735",0.02%,"1,228,115.453",0.20%,182.348 ,277.731,0.34%,0.041 ,648.676,0.32%,0.096 ,"$11,588,048",0.10%,"$1,721 ","$1,193,249",0.20%,$177 ,"$3,243,325",0.08%,$482 ,"$16,024,621",0.10%,"$2,379 ",,
Lavaca,143,YKM,Yoakum,970 ,0.37%,0.05 ,"32,219",0.12%,1.54 ,"20,919",0.07%,"610,673.825",0.10%,29.192 ,317.170,0.39%,0.015 ,667.307,0.33%,0.032 ,"$9,167,537",0.08%,$438 ,"$3,056,210",0.50%,$146 ,"$16,561,021",0.41%,$792 ,"$28,784,768",0.17%,"$1,376 ",,
Lee,144,AUS,Austin,629 ,0.24%,0.03 ,"27,924",0.10%,1.51 ,"18,432",0.06%,"951,584.494",0.15%,51.627 ,193.525,0.24%,0.010 ,519.285,0.26%,0.028 ,"$5,085,778",0.04%,$276 ,"$1,750,963",0.29%,$95 ,"$3,504,032",0.09%,$190 ,"$10,340,772",0.06%,$561 ,,
Leon,145,BRY,Bryan,"1,073 ",0.41%,0.06 ,"25,560",0.09%,1.51 ,"16,884",0.05%,"1,867,620.169",0.30%,110.615 ,387.905,0.48%,0.023 ,835.732,0.42%,0.049 ,"$13,389,816",0.11%,$793 ,"$2,649,505",0.44%,$157 ,"$7,960,981",0.20%,$472 ,"$24,000,302",0.14%,"$1,421 ",,
Liberty,146,BMT,Beaumont,"1,158 ",0.44%,0.01 ,"114,904",0.43%,0.97 ,"117,976",0.37%,"2,607,978.515",0.42%,22.106 ,404.521,0.50%,0.003 ,951.318,0.47%,0.008 ,"$57,816,211",0.48%,$490 ,"$3,077,088",0.51%,$26 ,"$23,265,464",0.58%,$197 ,"$84,158,764",0.50%,$713 ,,
Limestone,147,WAC,Waco,905 ,0.35%,0.04 ,"26,377",0.10%,1.20 ,"22,049",0.07%,"683,691.743",0.11%,31.008 ,378.858,0.47%,0.017 ,770.496,0.38%,0.035 ,"$11,185,078",0.09%,$507 ,"$2,342,152",0.39%,$106 ,"$4,476,164",0.11%,$203 ,"$18,003,394",0.11%,$817 ,,
Lipscomb,148,AMA,Amarillo,932 ,0.36%,0.34 ,"4,088",0.02%,1.49 ,"2,745",0.01%,"88,440.781",0.01%,32.219 ,197.853,0.24%,0.072 ,414.262,0.21%,0.151 ,"$9,396,818",0.08%,"$3,423 ","$1,387,346",0.23%,$505 ,"$2,287,896",0.06%,$833 ,"$13,072,060",0.08%,"$4,762 ",,
Live Oak,149,CRP,Corpus Christi,"1,040 ",0.40%,0.09 ,"15,543",0.06%,1.28 ,"12,111",0.04%,"1,597,257.934",0.26%,131.885 ,416.372,0.51%,0.034 ,"1,013.078",0.50%,0.084 ,"$24,887,428",0.21%,"$2,055 ","$2,552,850",0.42%,$211 ,"$3,652,029",0.09%,$302 ,"$31,092,307",0.19%,"$2,567 ",,
Llano,150,AUS,Austin,934 ,0.36%,0.04 ,"33,092",0.12%,1.43 ,"23,181",0.07%,"663,943.399",0.11%,28.642 ,227.682,0.28%,0.010 ,518.813,0.26%,0.022 ,"$2,574,501",0.02%,$111 ,"$1,185,085",0.20%,$51 ,"$5,855,855",0.15%,$253 ,"$9,615,441",0.06%,$415 ,,
Loving,151,ODA,Odessa,669 ,0.26%,12.16 ,271,0.00%,4.93 ,55,0.00%,"236,043.728",0.04%,"4,291.704 ",34.190,0.04%,0.622 ,68.380,0.03%,1.243 ,"$2,664,299",0.02%,"$48,442 ","$48,673",0.01%,$885 ,"$6,451,689",0.16%,"$117,303 ","$9,164,661",0.05%,"$166,630 ",,
Lubbock,152,LBB,Lubbock,896 ,0.34%,0.00 ,"274,556",1.02%,0.83 ,"329,582",1.04%,"4,386,263.359",0.70%,13.309 ,642.387,0.79%,0.002 ,"1,737.078",0.86%,0.005 ,"$94,833,336",0.78%,$288 ,"$4,348,462",0.72%,$13 ,"$44,572,860",1.11%,$135 ,"$143,754,658",0.86%,$436 ,,
Lynn,153,LBB,Lubbock,892 ,0.34%,0.14 ,"7,132",0.03%,1.13 ,"6,326",0.02%,"462,353.261",0.07%,73.088 ,318.013,0.39%,0.050 ,708.726,0.35%,0.112 ,"$534,965",0.00%,$85 ,"$1,533,972",0.25%,$242 ,"$1,631,598",0.04%,$258 ,"$3,700,536",0.02%,$585 ,,
Madison,154,BRY,Bryan,466 ,0.18%,0.03 ,"15,664",0.06%,1.10 ,"14,184",0.04%,"1,237,207.876",0.20%,87.226 ,264.313,0.33%,0.019 ,584.681,0.29%,0.041 ,"$30,293,753",0.25%,"$2,136 ","$2,111,277",0.35%,$149 ,"$6,926,992",0.17%,$488 ,"$39,332,022",0.24%,"$2,773 ",,
Marion,155,ATL,Atlanta,381 ,0.15%,0.04 ,"11,030",0.04%,1.10 ,"10,067",0.03%,"282,731.450",0.05%,28.085 ,150.194,0.19%,0.015 ,329.521,0.16%,0.033 ,"$18,522,260",0.15%,"$1,840 ","$939,401",0.16%,$93 ,"$682,129",0.02%,$68 ,"$20,143,790",0.12%,"$2,001 ",,
Martin,156,ODA,Odessa,915 ,0.35%,0.18 ,"7,649",0.03%,1.48 ,"5,154",0.02%,"1,137,331.558",0.18%,220.670 ,268.146,0.33%,0.052 ,642.850,0.32%,0.125 ,"$9,490,894",0.08%,"$1,841 ","$1,875,103",0.31%,$364 ,"$5,980,971",0.15%,"$1,160 ","$17,346,967",0.10%,"$3,366 ",,
Mason,157,AUS,Austin,929 ,0.36%,0.23 ,"7,290",0.03%,1.78 ,"4,086",0.01%,"209,637.764",0.03%,51.306 ,192.414,0.24%,0.047 ,418.464,0.21%,0.102 ,"$4,381,595",0.04%,"$1,072 ","$1,240,875",0.20%,$304 ,"$5,966,784",0.15%,"$1,460 ","$11,589,253",0.07%,"$2,836 ",,
Matagorda,158,YKM,Yoakum,"1,093 ",0.42%,0.03 ,"38,634",0.14%,1.06 ,"36,405",0.12%,"899,449.233",0.14%,24.707 ,319.771,0.39%,0.009 ,710.317,0.35%,0.020 ,"$7,303,049",0.06%,$201 ,"$2,240,586",0.37%,$62 ,"$17,943,981",0.45%,$493 ,"$27,487,616",0.16%,$755 ,,
Maverick,159,LRD,Laredo,"1,279 ",0.49%,0.02 ,"54,698",0.20%,0.93 ,"58,621",0.19%,"998,346.077",0.16%,17.031 ,222.254,0.27%,0.004 ,511.310,0.25%,0.009 ,"$12,373,314",0.10%,$211 ,"$2,250,435",0.37%,$38 ,"$7,238,498",0.18%,$123 ,"$21,862,246",0.13%,$373 ,,
McCulloch,160,BWD,Brownwood,"1,066 ",0.41%,0.14 ,"9,893",0.04%,1.32 ,"7,489",0.02%,"353,731.366",0.06%,47.233 ,297.178,0.37%,0.040 ,615.911,0.31%,0.082 ,"$1,920,685",0.02%,$256 ,"$1,557,451",0.26%,$208 ,"$823,887",0.02%,$110 ,"$4,302,023",0.03%,$574 ,,
McLennan,161,WAC,Waco,"1,037 ",0.40%,0.00 ,"243,363",0.90%,0.90 ,"270,957",0.86%,"7,741,239.559",1.24%,28.570 ,654.224,0.81%,0.002 ,"1,765.775",0.88%,0.007 ,"$69,533,964",0.58%,$257 ,"$4,011,821",0.66%,$15 ,"$49,881,964",1.24%,$184 ,"$123,427,750",0.74%,$456 ,,
McMullen,162,SAT,San Antonio,"1,140 ",0.44%,2.02 ,"1,854",0.01%,3.29 ,563,0.00%,"218,998.347",0.04%,388.985 ,159.836,0.20%,0.284 ,324.587,0.16%,0.577 ,"$549,878",0.00%,$977 ,"$980,030",0.16%,"$1,741 ","$536,100",0.01%,$952 ,"$2,066,008",0.01%,"$3,670 ",,
Medina,163,SAT,San Antonio,"1,325 ",0.51%,0.02 ,"65,115",0.24%,1.15 ,"56,647",0.18%,"1,683,062.094",0.27%,29.711 ,327.842,0.40%,0.006 ,772.367,0.38%,0.014 ,"$10,406,083",0.09%,$184 ,"$3,254,526",0.54%,$57 ,"$8,193,962",0.20%,$145 ,"$21,854,571",0.13%,$386 ,,
Menard,164,SJT,San Angelo,902 ,0.35%,0.48 ,"3,131",0.01%,1.67 ,"1,877",0.01%,"249,301.317",0.04%,132.819 ,169.886,0.21%,0.091 ,348.444,0.17%,0.186 ,"$2,190,134",0.02%,"$1,167 ","$567,835",0.09%,$303 ,"$2,454,984",0.06%,"$1,308 ","$5,212,953",0.03%,"$2,777 ",,
Midland,165,ODA,Odessa,900 ,0.34%,0.00 ,"257,094",0.95%,1.39 ,"184,344",0.58%,"5,085,936.151",0.81%,27.589 ,410.569,0.51%,0.002 ,"1,076.664",0.53%,0.006 ,"$140,642,410",1.16%,$763 ,"$2,074,262",0.34%,$11 ,"$52,735,893",1.31%,$286 ,"$195,452,565",1.17%,"$1,060 ",,
Milam,166,BRY,Bryan,"1,016 ",0.39%,0.04 ,"33,030",0.12%,1.26 ,"26,199",0.08%,"948,606.506",0.15%,36.208 ,334.241,0.41%,0.013 ,712.316,0.35%,0.027 ,"$8,839,160",0.07%,$337 ,"$3,464,596",0.57%,$132 ,"$7,160,041",0.18%,$273 ,"$19,463,797",0.12%,$743 ,,
Mills,167,BWD,Brownwood,748 ,0.29%,0.16 ,"7,798",0.03%,1.71 ,"4,547",0.01%,"262,586.332",0.04%,57.749 ,209.243,0.26%,0.046 ,462.645,0.23%,0.102 ,"$9,623,808",0.08%,"$2,117 ","$911,143",0.15%,$200 ,"$3,067,234",0.08%,$675 ,"$13,602,185",0.08%,"$2,991 ",,
Mitchell,168,ABL,Abilene,911 ,0.35%,0.10 ,"7,550",0.03%,0.85 ,"8,858",0.03%,"756,883.856",0.12%,85.446 ,297.767,0.37%,0.034 ,662.620,0.33%,0.075 ,"$2,069,509",0.02%,$234 ,"$1,732,549",0.29%,$196 ,"$9,564,048",0.24%,"$1,080 ","$13,366,106",0.08%,"$1,509 ",,
Montague,169,WFS,Wichita Falls,931 ,0.36%,0.04 ,"29,153",0.11%,1.30 ,"22,362",0.07%,"823,561.254",0.13%,36.829 ,386.491,0.48%,0.017 ,880.046,0.44%,0.039 ,"$17,609,119",0.15%,$787 ,"$2,910,210",0.48%,$130 ,"$6,388,768",0.16%,$286 ,"$26,908,096",0.16%,"$1,203 ",,
Montgomery,170,HOU,Houston,"1,042 ",0.40%,0.00 ,"672,464",2.49%,0.87 ,"775,723",2.46%,"13,425,597.934",2.15%,17.307 ,539.958,0.67%,0.001 ,"1,657.608",0.82%,0.002 ,"$206,646,365",1.71%,$266 ,"$1,816,670",0.30%,$2 ,"$34,191,412",0.85%,$44 ,"$242,654,447",1.45%,$313 ,,
Moore,171,AMA,Amarillo,900 ,0.34%,0.04 ,"25,941",0.10%,1.17 ,"22,110",0.07%,"593,256.638",0.10%,26.832 ,201.988,0.25%,0.009 ,486.795,0.24%,0.022 ,"$23,078,884",0.19%,"$1,044 ","$1,545,501",0.26%,$70 ,"$4,435,375",0.11%,$201 ,"$29,059,759",0.17%,"$1,314 ",,
Morris,172,ATL,Atlanta,252 ,0.10%,0.02 ,"14,308",0.05%,1.19 ,"11,994",0.04%,"476,059.572",0.08%,39.691 ,135.094,0.17%,0.011 ,360.211,0.18%,0.030 ,"$4,197,262",0.03%,$350 ,"$725,475",0.12%,$60 ,"$1,974,083",0.05%,$165 ,"$6,896,820",0.04%,$575 ,,
Motley,173,CHS,Childress,990 ,0.38%,0.96 ,"1,702",0.01%,1.64 ,"1,035",0.00%,"49,821.564",0.01%,48.137 ,165.110,0.20%,0.160 ,330.440,0.16%,0.319 ,"$187,548",0.00%,$181 ,"$1,020,934",0.17%,$986 ,"$407,923",0.01%,$394 ,"$1,616,405",0.01%,"$1,562 ",,
Nacogdoches,174,LFK,Lufkin,946 ,0.36%,0.01 ,"60,890",0.23%,0.95 ,"64,105",0.20%,"1,842,141.760",0.30%,28.736 ,403.835,0.50%,0.006 ,980.832,0.49%,0.015 ,"$32,011,514",0.26%,$499 ,"$4,477,364",0.74%,$70 ,"$16,701,857",0.42%,$261 ,"$53,190,734",0.32%,$830 ,,
Navarro,175,DAL,Dallas,"1,010 ",0.39%,0.02 ,"61,112",0.23%,1.09 ,"55,841",0.18%,"2,472,319.136",0.40%,44.274 ,523.695,0.65%,0.009 ,"1,276.480",0.63%,0.023 ,"$28,800,650",0.24%,$516 ,"$4,299,192",0.71%,$77 ,"$9,352,573",0.23%,$167 ,"$42,452,415",0.25%,$760 ,,
Newton,176,BMT,Beaumont,934 ,0.36%,0.08 ,"13,963",0.05%,1.18 ,"11,810",0.04%,"358,749.984",0.06%,30.377 ,272.693,0.34%,0.023 ,553.643,0.28%,0.047 ,"$2,861,519",0.02%,$242 ,"$1,421,594",0.23%,$120 ,"$1,697,376",0.04%,$144 ,"$5,980,489",0.04%,$506 ,,
Nolan,177,ABL,Abilene,912 ,0.35%,0.06 ,"14,744",0.05%,1.02 ,"14,432",0.05%,"1,203,876.814",0.19%,83.417 ,289.845,0.36%,0.020 ,691.160,0.34%,0.048 ,"$59,951,641",0.50%,"$4,154 ","$2,656,993",0.44%,$184 ,"$19,341,033",0.48%,"$1,340 ","$81,949,667",0.49%,"$5,678 ",,
Nueces,178,CRP,Corpus Christi,839 ,0.32%,0.00 ,"297,044",1.10%,0.83 ,"359,942",1.14%,"6,741,589.723",1.08%,18.730 ,576.894,0.71%,0.002 ,"1,661.209",0.83%,0.005 ,"$68,388,289",0.57%,$190 ,"$5,594,362",0.92%,$16 ,"$51,379,929",1.28%,$143 ,"$125,362,580",0.75%,$348 ,,
Ochiltree,179,AMA,Amarillo,918 ,0.35%,0.09 ,"11,995",0.04%,1.23 ,"9,759",0.03%,"249,519.330",0.04%,25.568 ,212.040,0.26%,0.022 ,431.619,0.21%,0.044 ,"$23,389,769",0.19%,"$2,397 ","$1,130,114",0.19%,$116 ,"$305,515",0.01%,$31 ,"$24,825,398",0.15%,"$2,544 ",,
Oldham,180,AMA,Amarillo,"1,501 ",0.57%,0.83 ,"3,022",0.01%,1.67 ,"1,812",0.01%,"886,792.860",0.14%,489.400 ,177.423,0.22%,0.098 ,471.729,0.23%,0.260 ,"$1,657,485",0.01%,$915 ,"$1,258,966",0.21%,$695 ,"$4,273,674",0.11%,"$2,359 ","$7,190,125",0.04%,"$3,968 ",,
Orange,181,BMT,Beaumont,334 ,0.13%,0.00 ,"83,164",0.31%,0.97 ,"85,934",0.27%,"2,993,644.274",0.48%,34.837 ,235.286,0.29%,0.003 ,660.031,0.33%,0.008 ,"$19,396,587",0.16%,$226 ,"$1,754,813",0.29%,$20 ,"$5,175,528",0.13%,$60 ,"$26,326,928",0.16%,$306 ,,
Palo Pinto,182,FTW,Fort Worth,953 ,0.36%,0.03 ,"36,136",0.13%,1.21 ,"29,927",0.09%,"1,216,860.133",0.19%,40.661 ,384.343,0.47%,0.013 ,837.688,0.42%,0.028 ,"$9,917,594",0.08%,$331 ,"$2,199,578",0.36%,$73 ,"$5,295,699",0.13%,$177 ,"$17,412,871",0.10%,$582 ,,
Panola,183,ATL,Atlanta,811 ,0.31%,0.04 ,"27,968",0.10%,1.22 ,"22,889",0.07%,"1,016,103.519",0.16%,44.393 ,318.099,0.39%,0.014 ,774.842,0.38%,0.034 ,"$33,050,342",0.27%,"$1,444 ","$2,082,497",0.34%,$91 ,"$10,053,000",0.25%,$439 ,"$45,185,838",0.27%,"$1,974 ",,
Parker,184,FTW,Fort Worth,904 ,0.35%,0.01 ,"190,757",0.71%,1.07 ,"179,074",0.57%,"4,486,223.607",0.72%,25.052 ,358.375,0.44%,0.002 ,903.435,0.45%,0.005 ,"$59,376,886",0.49%,$332 ,"$2,595,812",0.43%,$14 ,"$26,078,383",0.65%,$146 ,"$88,051,082",0.53%,$492 ,,
Parmer,185,LBB,Lubbock,881 ,0.34%,0.09 ,"10,333",0.04%,1.11 ,"9,288",0.03%,"453,368.130",0.07%,48.812 ,253.446,0.31%,0.027 ,612.230,0.30%,0.066 ,"$35,859,928",0.30%,"$3,861 ","$1,822,832",0.30%,$196 ,"$3,981,709",0.10%,$429 ,"$41,664,468",0.25%,"$4,486 ",,
Pecos,186,ODA,Odessa,"4,764 ",1.82%,0.30 ,"16,558",0.06%,1.05 ,"15,744",0.05%,"1,324,568.402",0.21%,84.132 ,719.347,0.89%,0.046 ,"1,685.924",0.84%,0.107 ,"$30,262,742",0.25%,"$1,922 ","$2,405,682",0.40%,$153 ,"$9,581,188",0.24%,$609 ,"$42,249,612",0.25%,"$2,684 ",,
Polk,187,LFK,Lufkin,"1,057 ",0.40%,0.02 ,"61,660",0.23%,1.13 ,"54,730",0.17%,"1,861,833.124",0.30%,34.019 ,364.942,0.45%,0.007 ,867.080,0.43%,0.016 ,"$62,871,121",0.52%,"$1,149 ","$3,680,278",0.61%,$67 ,"$14,842,002",0.37%,$271 ,"$81,393,401",0.49%,"$1,487 ",,
Potter,188,AMA,Amarillo,908 ,0.35%,0.01 ,"108,163",0.40%,0.92 ,"117,502",0.37%,"2,955,729.702",0.47%,25.155 ,307.567,0.38%,0.003 ,923.335,0.46%,0.008 ,"$41,600,991",0.34%,$354 ,"$4,327,712",0.71%,$37 ,"$55,127,844",1.37%,$469 ,"$101,056,547",0.60%,$860 ,,
Presidio,189,ELP,El Paso,"3,855 ",1.48%,0.62 ,"8,120",0.03%,1.31 ,"6,187",0.02%,"214,057.635",0.03%,34.598 ,270.893,0.33%,0.044 ,554.260,0.28%,0.090 ,"$18,957,478",0.16%,"$3,064 ","$1,030,570",0.17%,$167 ,"$3,743,877",0.09%,$605 ,"$23,731,925",0.14%,"$3,836 ",,
Rains,190,PAR,Paris,229 ,0.09%,0.02 ,"17,608",0.07%,1.30 ,"13,512",0.04%,"378,225.770",0.06%,27.992 ,133.563,0.16%,0.010 ,268.634,0.13%,0.020 ,"$253,826",0.00%,$19 ,"$735,464",0.12%,$54 ,"$1,842,690",0.05%,$136 ,"$2,831,980",0.02%,$210 ,,
Randall,191,AMA,Amarillo,913 ,0.35%,0.01 ,"153,229",0.57%,1.01 ,"151,067",0.48%,"1,837,798.299",0.29%,12.165 ,371.279,0.46%,0.002 ,936.789,0.47%,0.006 ,"$37,178,388",0.31%,$246 ,"$3,124,042",0.52%,$21 ,"$103,739,096",2.58%,$687 ,"$144,041,526",0.86%,$953 ,,
Reagan,192,SJT,San Angelo,"1,175 ",0.45%,0.34 ,"5,191",0.02%,1.52 ,"3,414",0.01%,"376,536.963",0.06%,110.292 ,158.546,0.20%,0.046 ,319.196,0.16%,0.093 ,"$1,885,145",0.02%,$552 ,"$857,998",0.14%,$251 ,"$2,515,330",0.06%,$737 ,"$5,258,473",0.03%,"$1,540 ",,
Real,193,SJT,San Angelo,699 ,0.27%,0.26 ,"4,770",0.02%,1.74 ,"2,737",0.01%,"109,087.719",0.02%,39.857 ,147.661,0.18%,0.054 ,295.322,0.15%,0.108 ,"$147,779",0.00%,$54 ,"$578,083",0.10%,$211 ,"$445,553",0.01%,$163 ,"$1,171,415",0.01%,$428 ,,
Red River,194,PAR,Paris,"1,044 ",0.40%,0.09 ,"15,076",0.06%,1.28 ,"11,793",0.04%,"485,133.426",0.08%,41.137 ,374.215,0.46%,0.032 ,759.850,0.38%,0.064 ,"$5,629,484",0.05%,$477 ,"$2,544,839",0.42%,$216 ,"$13,946,862",0.35%,"$1,183 ","$22,121,185",0.13%,"$1,876 ",,
Reeves,195,ODA,Odessa,"2,635 ",1.01%,0.18 ,"17,663",0.07%,1.17 ,"15,034",0.05%,"1,778,554.779",0.28%,118.302 ,490.388,0.60%,0.033 ,"1,177.046",0.58%,0.078 ,"$82,381,889",0.68%,"$5,480 ","$2,669,556",0.44%,$178 ,"$41,621,423",1.04%,"$2,768 ","$126,672,868",0.76%,"$8,426 ",,
Refugio,196,CRP,Corpus Christi,770 ,0.29%,0.11 ,"8,262",0.03%,1.21 ,"6,848",0.02%,"822,834.805",0.13%,120.157 ,193.722,0.24%,0.028 ,491.348,0.24%,0.072 ,"$11,623,917",0.10%,"$1,697 ","$2,348,673",0.39%,$343 ,"$7,295,600",0.18%,"$1,065 ","$21,268,190",0.13%,"$3,106 ",,
Roberts,197,AMA,Amarillo,924 ,0.35%,1.14 ,"1,399",0.01%,1.72 ,813,0.00%,"80,645.921",0.01%,99.195 ,120.319,0.15%,0.148 ,243.505,0.12%,0.300 ,"$5,576,957",0.05%,"$6,860 ","$320,869",0.05%,$395 ,"$212,911",0.01%,$262 ,"$6,110,736",0.04%,"$7,516 ",,
Robertson,198,BRY,Bryan,855 ,0.33%,0.05 ,"23,042",0.09%,1.31 ,"17,653",0.06%,"1,041,750.881",0.17%,59.013 ,294.521,0.36%,0.017 ,660.858,0.33%,0.037 ,"$13,022,694",0.11%,$738 ,"$2,646,101",0.44%,$150 ,"$10,872,626",0.27%,$616 ,"$26,541,420",0.16%,"$1,504 ",,
Rockwall,199,DAL,Dallas,127 ,0.05%,0.00 ,"117,260",0.43%,0.87 ,"135,364",0.43%,"3,011,488.192",0.48%,22.247 ,141.770,0.17%,0.001 ,366.233,0.18%,0.003 ,"$130,473,879",1.08%,$964 ,"$721,439",0.12%,$5 ,"-$2,607,737",-0.06%,($19),"$128,587,581",0.77%,$950 ,,
Runnels,200,SJT,San Angelo,"1,051 ",0.40%,0.11 ,"13,105",0.05%,1.36 ,"9,611",0.03%,"476,422.293",0.08%,49.571 ,342.703,0.42%,0.036 ,734.378,0.36%,0.076 ,"$13,384,046",0.11%,"$1,393 ","$1,558,647",0.26%,$162 ,"$10,440,548",0.26%,"$1,086 ","$25,383,240",0.15%,"$2,641 ",,
Rusk,201,TYL,Tyler,924 ,0.35%,0.02 ,"55,587",0.21%,1.04 ,"53,498",0.17%,"1,377,320.504",0.22%,25.745 ,520.821,0.64%,0.010 ,"1,175.876",0.58%,0.022 ,"$29,235,505",0.24%,$546 ,"$6,919,732",1.14%,$129 ,"$30,944,425",0.77%,$578 ,"$67,099,663",0.40%,"$1,254 ",,
Sabine,202,LFK,Lufkin,492 ,0.19%,0.05 ,"13,870",0.05%,1.39 ,"9,984",0.03%,"282,129.596",0.05%,28.258 ,237.164,0.29%,0.024 ,482.486,0.24%,0.048 ,"$3,040,794",0.03%,$305 ,"$2,256,493",0.37%,$226 ,"$3,854,081",0.10%,$386 ,"$9,151,369",0.05%,$917 ,,
San Augustine,203,LFK,Lufkin,531 ,0.20%,0.07 ,"10,040",0.04%,1.27 ,"7,887",0.02%,"275,345.801",0.04%,34.911 ,263.854,0.33%,0.033 ,537.995,0.27%,0.068 ,"$9,284,037",0.08%,"$1,177 ","$5,028,973",0.83%,$638 ,"$8,761,286",0.22%,"$1,111 ","$23,074,296",0.14%,"$2,926 ",,
