County Name,County Number,District Abbreviation,District Name,Square Miles,Statewide Percent of Square Miles,Per Capita Square Miles,Registered Vehicles,Statewide Percent of Registered Vehicles,Per Capita Registered Vehicles,Population Estimate**,Statewide Percent of Population Estimate**, Daily Vehicle Miles* ,Statewide Percent of Daily Vehicle Miles*,Per Capita Daily Vehicle Miles*,Center Line Miles*,Statewide Percent of Center Line Miles*,Per Capita Center Line Miles*, Lane Miles* ,Statewide Percent of Lane Miles*,Per Capita Lane Miles*, Construction Expenditures ,Statewide Percent of Construction Expenditures,Per Capita Construction Expenditures, Non-Contract Maintenance Expenditures ,Statewide Percent of Non-Contract Maintenance Expenditures,Per Capita Non-Contract Maintenance Expenditures,Contract Maintenance Expenditures,Statewide Percent of Contract Maintenance Expenditures,Per Capita Contract Maintenance Expenditures,Combined Construction & Maintenance Expenditures,Statewide Percent of Combined Construction & Maintenance Expenditures,Per Capita Combined Construction & Maintenance Expenditures,,
Brown,25,BWD,Brownwood,944 ,0.36%,0.02 ,"45,046",0.17%,1.17 ,"38,346",0.12%,"803,845.213",0.13%,20.963 ,328.457,0.40%,0.009 ,771.789,0.38%,0.020 ,"$24,131,888",0.20%,$629 ,"$1,959,985",0.32%,$51 ,"$4,262,818",0.11%,$111 ,"$30,354,690",0.18%,$792 ,,
Burleson,26,BRY,Bryan,659 ,0.25%,0.03 ,"27,798",0.10%,1.35 ,"20,660",0.07%,"876,699.601",0.14%,42.435 ,233.876,0.29%,0.011 ,542.612,0.27%,0.026 ,"$16,080,181",0.13%,$778 ,"$2,289,798",0.38%,$111 ,"$9,755,295",0.24%,$472 ,"$28,125,273",0.17%,"$1,361 ",,
Burnet,27,AUS,Austin,995 ,0.38%,0.02 ,"72,287",0.27%,1.27 ,"57,023",0.18%,"2,196,482.572",0.35%,38.519 ,292.408,0.36%,0.005 ,791.704,0.39%,0.014 ,"$8,502,014",0.07%,$149 ,"$1,524,663",0.25%,$27 ,"$5,741,928",0.14%,$101 ,"$15,768,605",0.09%,$277 ,,
Caldwell,28,AUS,Austin,545 ,0.21%,0.01 ,"55,130",0.20%,1.04 ,"52,987",0.17%,"1,753,753.003",0.28%,33.098 ,305.549,0.38%,0.006 ,715.069,0.36%,0.013 ,"$8,803,206",0.07%,$166 ,"$1,672,781",0.28%,$32 ,"$1,205,915",0.03%,$23 ,"$11,681,901",0.07%,$220 ,,
Calhoun,29,YKM,Yoakum,507 ,0.19%,0.03 ,"24,745",0.09%,1.22 ,"20,228",0.06%,"548,957.040",0.09%,27.138 ,174.667,0.22%,0.009 ,436.859,0.22%,0.022 ,"$3,838,872",0.03%,$190 ,"$1,915,513",0.32%,$95 ,"$8,510,410",0.21%,$421 ,"$14,264,795",0.09%,$705 ,,
Callahan,30,ABL,Abilene,899 ,0.34%,0.06 ,"18,315",0.07%,1.24 ,"14,746",0.05%,"1,161,211.100",0.19%,78.748 ,340.096,0.42%,0.023 ,745.201,0.37%,0.051 ,"$12,108,496",0.10%,$821 ,"$2,721,554",0.45%,$185 ,"$3,363,460",0.08%,$228 ,"$18,193,510",0.11%,"$1,234 ",,
Cameron,31,PHR,Pharr,892 ,0.34%,0.00 ,"366,844",1.36%,0.85 ,"433,199",1.37%,"7,810,181.796",1.25%,18.029 ,668.293,0.82%,0.002 ,"1,913.982",0.95%,0.004 ,"$47,648,021",0.39%,$110 ,"$4,724,103",0.78%,$11 ,"$35,762,240",0.89%,$83 ,"$88,134,364",0.53%,$203 ,,
Camp,32,ATL,Atlanta,196 ,0.07%,0.02 ,"19,390",0.07%,1.51 ,"12,881",0.04%,"292,196.884",0.05%,22.684 ,120.273,0.15%,0.009 ,267.392,0.13%,0.021 ,"$490,039",0.00%,$38 ,"$644,746",0.11%,$50 ,"$583,723",0.01%,$45 ,"$1,718,507",0.01%,$133 ,,
Carson,33,AMA,Amarillo,920 ,0.35%,0.16 ,"8,065",0.03%,1.43 ,"5,648",0.02%,"925,388.783",0.15%,163.844 ,317.084,0.39%,0.056 ,779.518,0.39%,0.138 ,"$20,299,892",0.17%,"$3,594 ","$1,841,007",0.30%,$326 ,"$6,022,787",0.15%,"$1,066 ","$28,163,685",0.17%,"$4,986 ",,
Cass,34,ATL,Atlanta,937 ,0.36%,0.03 ,"34,891",0.13%,1.23 ,"28,474",0.09%,"914,372.040",0.15%,32.113 ,436.439,0.54%,0.015 ,980.025,0.49%,0.034 ,"$22,518,485",0.19%,$791 ,"$4,133,818",0.68%,$145 ,"$4,138,197",0.10%,$145 ,"$30,790,500",0.18%,"$1,081 ",,
