county,grand_total,total_kw,pop_estimate,daily_miles,opt_label,cons_label,kw_per_ev,ev_per_capita,kw_per_capita,miles_per_ev,miles_per_kw
Dallas,33167.0,93092.6,2691548.0,43641546.969,over,over,2.806783851418579,0.012322648527910332,0.03458701089484564,1315.8123125094219,468.7971650700485
Dawson,14.0,261.6,11655.0,639348.874,over,over,18.685714285714287,0.0012012012012012011,0.022445302445302448,45667.77671428571,2443.9941666666664
Denton,22840.0,26445.4,1058299.0,13345256.759,over,over,1.1578546409807355,0.021581802496269956,0.024988590181035795,584.2932031085815,504.6343318308666
Dickens,3.0,13.0,1741.0,118032.649,under,under,4.333333333333333,0.0017231476163124641,0.007466973004020678,39344.21633333334,9079.434538461539
Eastland,31.0,4050.0,18223.0,1606790.717,over,over,130.6451612903226,0.0017011469022663666,0.2222466114251221,51831.958612903225,396.7384486419753
Ector,397.0,1400.0,175677.0,3687075.213,over,over,3.526448362720403,0.002259829118211263,0.007969170693943999,9287.34310579345,2633.625152142857
El Paso,5831.0,25482.4,879329.0,12836305.799,over,over,4.370159492368376,0.006631192648030487,0.02897936949651382,2201.390121591494,503.73221513672183
Ellis,1597.0,16727.2,235760.0,7452065.169,over,over,10.47413901064496,0.006773837801153716,0.07095011876484561,4666.2900244207885,445.50583295470847
Erath,102.0,849.4,43427.0,1401436.104,over,over,8.327450980392157,0.002348769198885486,0.01955926036797384,13739.569647058825,1649.9130021191431
Fannin,84.0,1000.0,39397.0,1100642.452,over,over,11.904761904761905,0.002132142041272178,0.025382643348478312,13102.886333333334,1100.642452
Fayette,78.0,4133.1,25486.0,2177245.173,over,over,52.98846153846154,0.0030605038060111433,0.16217138821313665,27913.399653846154,526.7826021630253
Fort Bend,18512.0,35256.0,971689.0,9861470.399,over,over,1.904494382022472,0.01905136314191063,0.03628321407363879,532.7069143798617,279.7104152201044
Freestone,43.0,5850.0,20554.0,1789918.413,over,over,136.04651162790697,0.0020920502092050207,0.2846161331127761,41626.00960465116,305.96895948717946
Frio,16.0,22.4,19614.0,1431284.305,under,under,1.4,0.0008157438564290813,0.0011420413990007137,89455.2690625,63896.62075892857
Galveston,3176.0,13571.3,368857.0,5718914.105,over,over,4.273079345088161,0.008610382885508475,0.03679284926136687,1800.665650188917,421.397663083124
Garza,2.0,2000.0,5376.0,465436.304,over,over,1000.0,0.0003720238095238095,0.37202380952380953,232718.152,232.718152
Gillespie,202.0,1118.8,28875.0,935721.528,over,over,5.538613861386138,0.006995670995670996,0.03874632034632035,4632.284792079208,836.3617518770112
Gonzales,37.0,4017.7,20311.0,1580315.089,over,over,108.58648648648648,0.0018216729850819753,0.1978090689774014,42711.21862162162,393.3382504915748
Gray,36.0,100.0,20887.0,663137.812,under,under,2.7777777777777777,0.0017235601091588068,0.004787666969885575,18420.494777777778,6631.37812
Grayson,754.0,2425.6,152665.0,4584157.041,over,over,3.216976127320955,0.004938918547145711,0.015888383060950445,6079.783874005306,1889.9064318106862
Gregg,449.0,23.0,127815.0,2953192.919,under,under,0.051224944320712694,0.0035128897234283927,0.00017994758048742323,6577.267080178174,128399.69213043479
Grimes,99.0,4968.5,33510.0,1574748.096,over,over,50.186868686868685,0.0029543419874664277,0.14826917338108028,15906.546424242424,316.94638140283786
Guadalupe,1218.0,10956.7,196392.0,4538462.517,over,over,8.995648604269295,0.006201881950384945,0.05578995071082325,3726.159701970443,414.2180142743709
Hale,58.0,5200.0,31802.0,953011.078,over,over,89.65517241379311,0.0018237846676309665,0.16351172882208667,16431.225482758622,183.27136115384616
Hamilton,21.0,2050.0,9071.0,449430.9,over,over,97.61904761904762,0.0023150700033072427,0.22599492889427847,21401.47142857143,219.23458536585366
Hardeman,3.0,2000.0,3367.0,412207.077,over,over,666.6666666666666,0.000891000891000891,0.594000594000594,137402.359,206.10353849999998
Hardin,137.0,493.0,59494.0,1421288.014,over,over,3.5985401459854014,0.002302753218811981,0.008286549904192019,10374.36506569343,2882.9371480730224
Harris,47539.0,165173.7,5003892.0,69713146.13,over,over,3.4744883148572754,0.009500404884837643,0.033009045758781365,1466.4411563137633,422.0596022853517
Harrison,176.0,1906.5,71364.0,2902417.938,over,over,10.832386363636363,0.002466229471442184,0.026715150496048428,16491.011011363636,1522.3802454760032
Hays,4240.0,15477.9,294840.0,6411022.177,over,over,3.6504481132075473,0.014380681047347714,0.052495929995929995,1512.0335323113209,414.2049100330148
Henderson,233.0,2006.2,88009.0,2092757.061,over,over,8.61030042918455,0.002647456510129646,0.02279539592541672,8981.78996137339,1043.1447816768018
Hidalgo,3639.0,8006.4,928384.0,12930973.121,over,over,2.2001648804616654,0.003919714256169861,0.008624017647869846,3553.441363286617,1615.079576463829
Hill,112.0,17738.0,39598.0,3175921.544,over,over,158.375,0.002828425678064549,0.4479519167634729,28356.44235714286,179.04620272860527
Hockley,30.0,1138.8,21620.0,685691.97,over,over,37.96,0.0013876040703052729,0.052673450508788154,22856.398999999998,602.1179926238145
Hood,445.0,63.0,70130.0,1314457.69,under,under,0.14157303370786517,0.00634535861970626,0.0008983316697561671,2953.8375056179775,20864.40777777778
Hopkins,105.0,5480.0,39012.0,1851366.776,over,over,52.19047619047619,0.00269147954475546,0.14046959909771353,17632.064533333334,337.84065255474457
Howard,63.0,5407.6,33949.0,1564352.151,over,over,85.83492063492064,0.0018557247636160122,0.15928598780523728,24830.986523809526,289.28769712996524
Hunt,445.0,1512.2,118261.0,3625392.211,over,over,3.398202247191011,0.0037628634968417314,0.012786971190840598,8146.948788764045,2397.4290510514484
Jefferson,683.0,3438.8,258038.0,5516614.92,over,over,5.03484626647145,0.00264689696866353,0.013326719320410173,8077.035021961932,1604.2267418867045
Jim Wells,74.0,2990.0,38468.0,1187437.903,over,over,40.4054054054054,0.0019236768222938546,0.0777269418737652,16046.458148648648,397.13642240802676
Johnson,1193.0,5788.7,209341.0,3971562.382,over,over,4.852221290863369,0.005698835870660788,0.027652012744756163,3329.054804694049,686.0888251248122
Jones,20.0,42.4,21101.0,581200.172,under,under,2.12,0.0009478223780863466,0.0020093834415430547,29060.0086,13707.551226415095
Karnes,24.0,3078.4,15196.0,754340.591,over,over,128.26666666666668,0.0015793629902605948,0.20257962621742565,31430.857958333334,245.04307140072765
Kaufman,1460.0,7677.200000000001,200711.0,5360482.422,over,over,5.258356164383562,0.007274140430768618,0.03825002117472386,3671.563302739726,698.2340465273797
Kendall,892.0,4301.9,50790.0,1539973.211,over,over,4.822757847533632,0.017562512305571962,0.08469974404410316,1726.4273665919281,357.9751298263558
Kerr,240.0,1050.0,53984.0,1561340.52,over,over,4.375,0.004445761707172495,0.01945020746887967,6505.5855,1486.9909714285714
Kimble,8.0,3913.0,4383.0,772260.284,over,over,489.125,0.0018252338580880675,0.8927675108373261,96532.5355,197.3575987733197
Kinney,6.0,38.4,3108.0,227690.937,under,under,6.3999999999999995,0.0019305019305019305,0.012355212355212355,37948.4895,5929.451484375
Kleberg,74.0,4800.0,31032.0,875115.617,over,over,64.86486486486487,0.0023846352152616652,0.15467904098994587,11825.886716216215,182.31575354166665
Lamar,116.0,2652.0,51503.0,1461060.592,over,over,22.862068965517242,0.002252295982758286,0.05149214608857736,12595.349931034481,550.9278250377074
Lamb,20.0,44.8,12620.0,490529.841,under,under,2.2399999999999998,0.001584786053882726,0.0035499207606973057,24526.49205,10949.326808035716
Lee,48.0,1200.0,18432.0,951584.494,over,over,25.0,0.0026041666666666665,0.06510416666666667,19824.676958333333,792.9870783333333
Leon,23.0,6200.0,16884.0,1867620.169,over,over,269.5652173913044,0.0013622364368633024,0.36721156124141197,81200.87691304348,301.22905951612904
Liberty,199.0,79.4,117976.0,2607978.515,under,under,0.3989949748743719,0.001686783752627653,0.0006730182409981692,13105.419673366834,32846.07701511335
Limestone,38.0,88.0,22049.0,683691.743,under,under,2.3157894736842106,0.001723434169350084,0.003991110707968615,17991.88797368421,7769.224352272728
Live Oak,15.0,2683.2,12111.0,1597257.934,over,over,178.88,0.0012385434728758979,0.22155065642804062,106483.86226666666,595.2809831544424
Llano,183.0,2079.4,23181.0,663943.399,over,over,11.362841530054645,0.007894396272809629,0.08970277382338986,3628.106005464481,319.295661729345
Lubbock,1230.0,6875.4,329582.0,4386263.359,over,over,5.589756097560976,0.0037319999271804892,0.020860969349054254,3566.0677715447155,637.9648251738081
Madison,20.0,10200.0,14184.0,1237207.876,over,over,510.0,0.0014100394811054709,0.7191201353637902,61860.3938,121.29488980392156
Martin,9.0,22.4,5154.0,1137331.558,under,under,2.488888888888889,0.0017462165308498253,0.004346138921226232,126370.1731111111,50773.73026785714
Matagorda,56.0,29.6,36405.0,899449.233,under,under,0.5285714285714286,0.0015382502403516,0.0008130751270429887,16061.593446428571,30386.79841216216
Maverick,107.0,64.6,58621.0,998346.077,under,under,0.6037383177570093,0.001825284454376418,0.0011019941659132391,9330.3371682243,15454.2736377709
McCulloch,9.0,44.8,7489.0,353731.366,over,over,4.977777777777778,0.0012017625851248497,0.005982107090399252,39303.485111111106,7895.789419642857
McLennan,1225.0,22093.8,270957.0,7741239.559,over,over,18.035755102040817,0.004521012559188358,0.08153987533077203,6319.379231836735,350.38062981469915
Medina,298.0,5560.0,56647.0,1683062.094,over,over,18.65771812080537,0.0052606492841633275,0.0981517114763359,5647.859375838926,302.7090097122302
Midland,521.0,3437.8,184344.0,5085936.151,over,over,6.598464491362765,0.002826237903050818,0.01864883044742438,9761.873610364682,1479.415949444412
Mills,49.0,65.4,4547.0,262586.332,under,under,1.3346938775510204,0.010776336045744447,0.014383109742687488,5358.904734693878,4015.081529051987
Mitchell,3.0,3222.4,8858.0,756883.856,over,over,1074.1333333333334,0.00033867690223526756,0.3637841499209754,252294.61866666668,234.88203078450843
Montgomery,8463.0,14763.7,775723.0,13425597.934,over,over,1.7444995864350703,0.010909822191684402,0.019032180301473595,1586.3875616211747,909.3653985112132
Moore,24.0,44.8,22110.0,593256.638,under,under,1.8666666666666665,0.001085481682496608,0.002026232473993668,24719.026583333336,13242.335669642858
Nacogdoches,134.0,1257.2,64105.0,1842141.76,over,over,9.382089552238806,0.002090320567818423,0.019611574760159116,13747.326567164178,1465.2734330257715
Navarro,106.0,5544.8,55841.0,2472319.136,over,over,52.30943396226415,0.0018982468079010047,0.09929621604197633,23323.765433962264,445.8806694560669
Nolan,13.0,2250.0,14432.0,1203876.814,over,over,173.07692307692307,0.0009007760532150776,0.15590354767184036,92605.90876923077,535.0563617777777
Nueces,1501.0,8649.0,359942.0,6741589.723,over,over,5.76215856095936,0.004170116296514439,0.024028871318156814,4491.398882744837,779.4646459706324
Oldham,4.0,1400.0,1812.0,886792.86,over,over,350.0,0.002207505518763797,0.7726269315673289,221698.215,633.4234714285715
Orange,167.0,2454.0,85934.0,2993644.274,over,over,14.694610778443113,0.001943351874694533,0.028556799404193915,17926.013616766468,1219.9039421352893
Palo Pinto,61.0,10450.0,29927.0,1216860.133,over,over,171.31147540983608,0.0020382931800715072,0.3491830119958566,19948.5267704918,116.44594574162679
Panola,31.0,2057.0,22889.0,1016103.519,over,over,66.35483870967742,0.001354362357464284,0.08986849578400105,32777.53287096774,493.9735143412737
Parker,1364.0,1935.2,179074.0,4486223.607,under,under,1.4187683284457477,0.007616962819839842,0.010806705607737584,3289.0202397360704,2318.222202873088
Pecos,11.0,2317.2,15744.0,1324568.402,over,over,210.65454545454543,0.0006986788617886179,0.14717987804878047,120415.30927272727,571.624547730019
