County Name,County Number,Registered Vehicles,Statewide Percent of Registered Vehicles,Per Capita Registered Vehicles,Population Estimate**,Statewide Percent of Population Estimate**,Daily Vehicle Miles*,Statewide Percent of Daily Vehicle Miles*,Per Capita Daily Vehicle Miles*
Tom Green,226.0,"125,170",0.46%,1.01,"123,326",0.39%,"2,016,228.964",0.32%,16.349 
Travis,227.0,"1,003,803",3.72%,0.72,"1,395,906",4.42%,"22,808,074.936",3.65%,16.339 
Trinity,228.0,"17,891",0.07%,1.23,"14,510",0.05%,"401,790.632",0.06%,27.691 
Tyler,229.0,"23,624",0.09%,1.15,"20,574",0.07%,"591,703.608",0.09%,28.760 
Upshur,230.0,"47,255",0.18%,1.07,"44,174",0.14%,"1,106,999.917",0.18%,25.060 
Upton,231.0,"5,088",0.02%,1.54,"3,296",0.01%,"344,637.279",0.06%,104.562 
Uvalde,232.0,"27,804",0.10%,1.14,"24,344",0.08%,"670,524.812",0.11%,27.544 
Val Verde,233.0,"49,325",0.18%,1.02,"48,163",0.15%,"612,258.867",0.10%,12.712 
Van Zandt,234.0,"70,984",0.26%,1.08,"65,449",0.21%,"2,670,613.519",0.43%,40.804 
Victoria,235.0,"92,607",0.34%,1.02,"90,845",0.29%,"2,364,206.426",0.38%,26.025 
Walker,236.0,"62,942",0.23%,0.78,"80,914",0.26%,"3,207,038.973",0.51%,39.635 
Waller,237.0,"69,599",0.26%,1.05,"65,997",0.21%,"2,649,842.660",0.42%,40.151 
Ward,238.0,"17,184",0.06%,1.46,"11,762",0.04%,"1,377,851.755",0.22%,117.144 
Washington,239.0,"47,865",0.18%,1.26,"38,024",0.12%,"1,610,837.569",0.26%,42.364 
Webb,240.0,"237,491",0.88%,0.86,"277,406",0.88%,"4,079,258.727",0.65%,14.705 
Wharton,241.0,"51,254",0.19%,1.22,"42,154",0.13%,"1,861,265.568",0.30%,44.154 
Wheeler,242.0,"6,457",0.02%,1.31,"4,936",0.02%,"572,589.884",0.09%,116.003 
Wichita,243.0,"113,470",0.42%,0.88,"128,927",0.41%,"2,348,808.630",0.38%,18.218 
Wilbarger,244.0,"12,845",0.05%,1.02,"12,566",0.04%,"694,823.672",0.11%,55.294 
Willacy,245.0,"16,547",0.06%,0.81,"20,510",0.06%,"617,052.622",0.10%,30.085 
Williamson,246.0,"574,108",2.13%,0.78,"737,942",2.34%,"11,231,855.004",1.80%,15.221 
Wilson,247.0,"69,539",0.26%,1.23,"56,383",0.18%,"1,369,237.958",0.22%,24.285 
