model,battery_capacity_kWh,efficiency_wh_per_km,range_km,fast_charging_power_kw_dc,fast_charge_port
lexus rz 300e,64.0,149,365,100.0,CCS
lexus rz 450e,64.0,158,350,100.0,CCS
lexus ux 300e,64.0,145,340,35.0,CHAdeMO
lotus eletre,109.0,204,495,259.0,CCS
lotus eletre r,109.0,266,455,259.0,CCS
lotus eletre s,109.0,222,480,259.0,CCS
lotus emeya,98.9,198,520,240.0,CCS
lotus emeya r,98.9,227,465,240.0,CCS
lotus emeya s,98.9,198,520,240.0,CCS
lucid air grand touring,112.0,143,665,184.0,CCS
lucid air pure rwd,92.0,130,565,160.0,CCS
lucid air touring,92.0,142,580,160.0,CCS
lynk&co 02,65.0,149,370,90.0,CCS
mg cyberster gt,74.4,168,395,85.0,CCS
mg cyberster trophy,74.4,146,425,85.0,CCS
mg 4 electric 51 kwh,50.8,145,300,68.0,CCS
mg 4 electric 64 kwh,61.7,142,360,116.0,CCS
mg 4 electric 77 kwh,74.4,143,425,110.0,CCS
mg 4 electric xpower,61.7,160,320,116.0,CCS
mg 5 electric long range,57.4,151,335,60.0,CCS
mg 5 electric standard range,46.0,148,265,53.0,CCS
mg s5  ev 49 kwh,47.1,139,275,80.0,CCS
mg s5  ev 64 kwh,62.1,134,365,90.0,CCS
mg zs ev long range,68.3,155,370,82.0,CCS
mg zs ev standard range,49.0,153,265,50.0,CCS
maserati grancabrio folgore,83.0,198,395,190.0,CCS
maserati granturismo folgore,83.0,182,420,217.0,CCS
maserati grecale folgore,95.0,220,400,110.0,CCS
maxus mifa 9,84.0,195,365,103.0,CCS
mazda 6e 68.8 kwh,66.0,138,390,120.0,CCS
mazda 6e long range 80 kwh,75.0,136,440,70.0,CCS
mercedes-benz cla 250+,85.0,122,565,235.0,CCS
mercedes-benz cla 350 4matic,85.0,126,550,235.0,CCS
mercedes-benz eqa 250,66.5,146,395,100.0,CCS
mercedes-benz eqa 250+,70.5,142,420,90.0,CCS
mercedes-benz eqa 300 4matic,66.5,162,350,100.0,CCS
mercedes-benz eqa 350 4matic,66.5,162,350,100.0,CCS
mercedes-benz eqb 250+,70.5,152,415,90.0,CCS
mercedes-benz eqb 300 4matic,66.5,168,345,100.0,CCS
mercedes-benz eqb 350 4matic,66.5,168,345,100.0,CCS
mercedes-benz eqe 300,89.0,163,525,120.0,CCS
mercedes-benz eqe 350 4matic,90.6,173,515,141.0,CCS
mercedes-benz eqe 350+,96.0,164,555,141.0,CCS
mercedes-benz eqe 500 4matic,90.6,173,505,141.0,CCS
mercedes-benz eqe amg 43 4matic,90.6,207,450,141.0,CCS
mercedes-benz eqe amg 53 4matic+,90.6,208,450,141.0,CCS
mercedes-benz eqe suv 300,90.6,182,450,141.0,CCS
mercedes-benz eqe suv 350 4matic,90.6,189,435,141.0,CCS
mercedes-benz eqe suv 350+,96.0,164,475,141.0,CCS
mercedes-benz eqe suv 500 4matic,96.0,187,455,141.0,CCS
mercedes-benz eqe suv amg 43 4matic,90.6,214,425,141.0,CCS
mercedes-benz eqe suv amg 53 4matic+,90.6,242,420,141.0,CCS
mercedes-benz eqs 350,96.0,165,570,130.0,CCS
mercedes-benz eqs 450 4matic,118.0,180,655,160.0,CCS
mercedes-benz eqs 450+,118.0,173,685,160.0,CCS
mercedes-benz eqs 500 4matic,118.0,180,640,160.0,CCS
mercedes-benz eqs 580 4matic,118.0,180,640,160.0,CCS
mercedes-benz eqs amg 53 4matic+,118.0,222,585,160.0,CCS
mercedes-benz eqs suv 450 4matic,118.0,199,530,160.0,CCS
mercedes-benz eqs suv 450+,118.0,195,540,160.0,CCS
mercedes-benz eqs suv 500 4matic,118.0,199,530,160.0,CCS
mercedes-benz eqs suv 580 4matic,118.0,199,530,160.0,CCS
mercedes-benz eqs suv maybach 680,118.0,211,490,160.0,CCS
mercedes-benz eqt 200 long,45.0,177,220,50.0,CCS
mercedes-benz eqt 200 standard,45.0,167,225,50.0,CCS
mercedes-benz eqv 250 extra-long,60.0,282,210,60.0,CCS
mercedes-benz eqv 250 long,60.0,282,215,60.0,CCS
mercedes-benz eqv 300 extra-long,90.0,249,315,96.0,CCS
mercedes-benz eqv 300 long,90.0,276,320,96.0,CCS
mercedes-benz g 580,116.0,267,360,150.0,CCS
mercedes-benz evito tourer extra-long 60 kwh,60.0,254,215,60.0,CCS
mercedes-benz evito tourer long 60 kwh,60.0,259,220,60.0,CCS
mercedes-benz evito tourer long 90 kwh,90.0,260,325,96.0,CCS
mini aceman e,38.5,129,230,60.0,CCS
mini aceman jcw,49.2,143,280,75.0,CCS
mini aceman se,49.2,129,290,75.0,CCS
mini cooper e,36.6,125,250,60.0,CCS
mini cooper jcw,49.2,135,290,75.0,CCS
mini cooper se,49.2,127,330,75.0,CCS
mini countryman e,64.6,140,380,94.0,CCS
mini countryman se all4,64.6,149,365,94.0,CCS
nio el6 long range,90.0,170,435,135.0,CCS
nio el6 standard range,73.5,181,365,110.0,CCS
nio el7 long range,90.0,185,430,100.0,CCS
nio el7 standard range,73.5,198,355,110.0,CCS
nio el8 long range,90.0,185,440,190.0,CCS
nio el8 standard range,73.5,196,360,110.0,CCS
nio et5 long range,90.0,167,500,100.0,CCS
nio et5 standard range,73.5,175,410,110.0,CCS
nio et5 touring long range,90.0,178,485,135.0,CCS
nio et5 touring standard range,73.5,169,400,110.0,CCS
nio et7 long range,90.0,178,505,100.0,CCS
nio et7 standard range,73.5,191,415,110.0,CCS
nissan ariya 63kwh,63.0,175,335,90.0,CCS
nissan ariya 87kwh,87.0,169,450,110.0,CCS
nissan ariya e-4orce 87kwh - 225 kw,87.0,190,405,110.0,CCS
nissan ariya e-4orce 87kwh - 320 kw nismo,87.0,209,385,110.0,CCS
nissan townstar ev passenger,45.0,158,225,50.0,CCS
nissan townstar ev passenger l2,45.0,173,220,50.0,CCS
omoda e5,61.0,152,345,60.0,CCS
opel astra electric,50.8,128,320,85.0,CCS
opel astra sports tourer electric,50.8,123,310,85.0,CCS
opel combo-e life 50 kwh,50.0,149,235,80.0,CCS
opel combo-e life xl 50 kwh,50.0,149,230,80.0,CCS
opel corsa electric 50 kwh,46.3,131,290,78.0,CCS
opel corsa electric 51 kwh,48.1,120,315,80.0,CCS
opel frontera 44 kwh,44.0,144,245,60.0,CCS
opel grandland 73 kwh,73.0,145,365,90.0,CCS
opel grandland 82 kwh,82.2,146,410,100.0,CCS
opel mokka electric,50.8,126,285,85.0,CCS
opel zafira-e life l2 50 kwh,46.3,217,180,78.0,CCS
opel zafira-e life l2 75 kwh,68.0,202,260,79.0,CCS
opel zafira-e life l3 50 kwh,46.3,219,180,78.0,CCS
opel zafira-e life l3 75 kwh,68.0,204,260,79.0,CCS
peugeot e-2008 50 kwh,46.3,136,270,78.0,CCS
peugeot e-2008 54 kwh,50.8,125,300,85.0,CCS
peugeot e-208 50 kwh,46.3,132,290,78.0,CCS
peugeot e-208 51 kwh,48.1,120,310,80.0,CCS
peugeot e-3008 73 kwh,73.0,143,380,90.0,CCS
peugeot e-3008 73 kwh dual motor,73.0,195,375,90.0,CCS
peugeot e-3008 97 kwh long range,96.9,145,500,135.0,CCS
peugeot e-308,50.8,124,300,80.0,CCS
peugeot e-308 sw,50.8,127,300,80.0,CCS
peugeot e-408 58 kwh,58.3,129,375,70.0,CCS
peugeot e-5008 73 kwh,73.0,150,370,90.0,CCS
peugeot e-5008 73 kwh dual motor,73.0,203,360,90.0,CCS
peugeot e-5008 97 kwh long range,96.9,152,485,135.0,CCS
peugeot e-rifter m 50 kwh,50.0,152,235,80.0,CCS
peugeot e-rifter xl 50 kwh,50.0,153,230,80.0,CCS
peugeot e-traveller l2 50 kwh,46.3,217,180,78.0,CCS
peugeot e-traveller l2 75 kwh,68.0,202,260,79.0,CCS
peugeot e-traveller l3 50 kwh,46.3,219,180,78.0,CCS
peugeot e-traveller l3 75 kwh,68.0,204,260,79.0,CCS
polestar 2 long range dual motor (my26),79.0,142,455,125.0,CCS
polestar 2 long range performance (my26),79.0,142,450,125.0,CCS
polestar 2 long range single motor (my26),79.0,130,475,125.0,CCS
polestar 2 standard range single motor (my26),67.0,129,405,110.0,CCS
polestar 3 long range dual motor,107.0,183,515,150.0,CCS
polestar 3 long range performance,107.0,194,495,150.0,CCS
polestar 3 long range single motor,107.0,166,530,150.0,CCS
polestar 4 long range dual motor,94.0,165,485,135.0,CCS
polestar 4 long range single motor,94.0,157,495,135.0,CCS
porsche macan 4 electric,95.0,184,470,200.0,CCS
porsche macan 4s electric,95.0,186,470,200.0,CCS
porsche macan electric,95.0,177,495,200.0,CCS
porsche macan turbo electric,95.0,183,460,200.0,CCS
porsche taycan,82.3,164,495,195.0,CCS
porsche taycan 4,82.3,172,490,195.0,CCS
porsche taycan 4 cross turismo,97.0,188,510,281.0,CCS
porsche taycan 4 plus,97.0,175,565,281.0,CCS
porsche taycan 4s,82.3,174,490,195.0,CCS
porsche taycan 4s cross turismo,97.0,188,510,281.0,CCS
porsche taycan 4s plus,97.0,177,565,281.0,CCS
porsche taycan 4s plus sport turismo,97.0,186,510,281.0,CCS
porsche taycan 4s sport turismo,82.3,183,440,195.0,CCS
porsche taycan gts,97.0,176,535,281.0,CCS
porsche taycan gts sport turismo,97.0,185,505,281.0,CCS
porsche taycan plus,97.0,168,575,281.0,CCS
porsche taycan plus sport turismo,97.0,176,530,281.0,CCS
porsche taycan sport turismo,82.3,173,460,195.0,CCS
porsche taycan turbo,97.0,174,535,281.0,CCS
porsche taycan turbo cross turismo,97.0,188,495,281.0,CCS
porsche taycan turbo gt,97.0,184,475,281.0,CCS
porsche taycan turbo gt weissach,97.0,180,475,281.0,CCS
porsche taycan turbo s,97.0,174,525,281.0,CCS
porsche taycan turbo s cross turismo,97.0,188,485,281.0,CCS
porsche taycan turbo s sport turismo,97.0,183,505,281.0,CCS
porsche taycan turbo sport turismo,97.0,184,505,281.0,CCS
renault 4 e-tech 40kwh 120hp,40.0,124,245,55.0,CCS
renault 4 e-tech 52kwh 150hp,52.0,127,315,70.0,CCS
renault 5 e-tech 40kwh 120hp,40.0,132,250,55.0,CCS
renault 5 e-tech 40kwh 95hp,40.0,129,255,,
renault 5 e-tech 52kwh 150hp,52.0,129,320,70.0,CCS
renault kangoo e-tech electric,45.0,158,225,50.0,CCS
renault kangoo grand e-tech electric,45.0,170,220,50.0,CCS
renault megane e-tech ev60 130hp (tu2025),60.0,125,380,88.0,CCS
