County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,BrightDrop EV600,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lexus TX 500h,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Mercedes S580e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Orange EV T-Series N Standard Duty,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Workhorse E-GEN Van,Xos MDXT,Grand Total
Anderson,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,2.0,,,4.0,1.0,,,,,,,,,,1.0,1.0,,1.0,5.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,3.0,3.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,13.0,6.0,5.0,10.0,,,,,6.0,,1.0,,,1.0,,,,,,,,,,,75.0
Andrews,,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,25.0
Angelina,,,,,,,,,1.0,,,,,,,,,2.0,,,1.0,,,,2.0,1.0,,,,,,,1.0,,3.0,7.0,,,8.0,3.0,,,,,,,,,1.0,,1.0,,2.0,3.0,,,,,,,,,1.0,,,,1.0,,1.0,,,,,2.0,,,,,,1.0,8.0,,4.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,8.0,,,,,,,1.0,2.0,,,,,,,,,,,,,33.0,13.0,7.0,14.0,,,1.0,,3.0,,2.0,2.0,,,,,,,,,,,,,144.0
Aransas,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,5.0,1.0,,,,,,,1.0,,,1.0,2.0,,3.0,,,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,1.0,7.0,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,6.0,4.0,3.0,14.0,,,,,1.0,,1.0,2.0,,,,,,,,2.0,2.0,,,,75.0
Archer,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,15.0
Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0
Atascosa,,,,,,,1.0,,,,,1.0,,2.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,4.0,4.0,,,4.0,2.0,,,,,,,,3.0,,,2.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,20.0,3.0,3.0,8.0,,,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,87.0
Austin,,,,,,,,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,4.0,,,1.0,,,4.0,1.0,,,,,,,,,,,2.0,,2.0,5.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,4.0,,,,1.0,,,,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,2.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,17.0,6.0,1.0,17.0,,,,,2.0,,2.0,5.0,,,,,,,,1.0,1.0,,,,96.0
Bailey,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Bandera,,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,6.0,,,2.0,,,,,1.0,1.0,,,,,,3.0,,4.0,3.0,,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,22.0,8.0,3.0,11.0,1.0,,,,2.0,,1.0,3.0,,,,,,,,,,,,,91.0
Bastrop,,,,,,2.0,3.0,,1.0,,2.0,,,3.0,,,4.0,4.0,,1.0,4.0,2.0,,,1.0,1.0,,,,,,,1.0,,9.0,29.0,,,12.0,6.0,,,,,4.0,,,8.0,4.0,1.0,13.0,,9.0,27.0,,,,1.0,,1.0,,,,,,,4.0,4.0,,,1.0,1.0,,,,,,,,6.0,8.0,,2.0,1.0,10.0,5.0,,,4.0,,,,,1.0,,,,,,,,,,4.0,,,1.0,,,,,,,,,1.0,1.0,,1.0,,1.0,17.0,,,,,1.0,,1.0,3.0,,,,4.0,6.0,,,,,,,8.0,172.0,32.0,18.0,126.0,,,2.0,2.0,16.0,,5.0,12.0,,,1.0,1.0,,,2.0,6.0,1.0,,,,645.0
Baylor,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Bee,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,,6.0,,,,,,,,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,7.0,,,,,,,1.0,1.0,,,,,,,,,,,,,34.0
Bell,,,,,,2.0,3.0,,,,4.0,,,19.0,21.0,2.0,3.0,13.0,,6.0,8.0,17.0,1.0,2.0,8.0,3.0,,,,,1.0,2.0,15.0,1.0,11.0,31.0,,5.0,69.0,58.0,,1.0,,,8.0,,,16.0,5.0,7.0,25.0,2.0,34.0,44.0,,1.0,,,3.0,2.0,,1.0,,,,,10.0,12.0,10.0,1.0,,4.0,,2.0,2.0,,,,1.0,13.0,86.0,,10.0,3.0,5.0,6.0,2.0,5.0,1.0,6.0,,3.0,,,3.0,6.0,,2.0,8.0,,,,3.0,4.0,,3.0,3.0,,3.0,2.0,,1.0,,,,2.0,1.0,13.0,1.0,,22.0,26.0,,,,,7.0,,2.0,1.0,,1.0,,5.0,4.0,,6.0,,,1.0,1.0,,377.0,88.0,42.0,285.0,,,3.0,3.0,39.0,,9.0,29.0,2.0,2.0,7.0,1.0,,2.0,5.0,10.0,13.0,,,,1684.0
Bexar,5.0,18.0,4.0,2.0,12.0,55.0,79.0,,38.0,7.0,106.0,62.0,29.0,202.0,158.0,12.0,20.0,221.0,5.0,61.0,100.0,117.0,9.0,4.0,37.0,56.0,,,,,4.0,23.0,100.0,1.0,569.0,537.0,77.0,17.0,382.0,315.0,,1.0,,3.0,26.0,1.0,7.0,93.0,40.0,61.0,203.0,12.0,143.0,391.0,,,,2.0,13.0,9.0,11.0,8.0,2.0,8.0,,,75.0,291.0,41.0,12.0,13.0,98.0,5.0,7.0,25.0,,2.0,2.0,13.0,363.0,411.0,2.0,306.0,3.0,404.0,34.0,2.0,31.0,19.0,7.0,20.0,23.0,32.0,,45.0,30.0,,26.0,25.0,,2.0,5.0,6.0,35.0,18.0,24.0,72.0,,8.0,18.0,1.0,3.0,,,1.0,9.0,28.0,44.0,8.0,,53.0,384.0,,,,,519.0,2.0,44.0,32.0,,86.0,14.0,97.0,78.0,,23.0,,,6.0,17.0,13.0,4962.0,919.0,553.0,3399.0,1.0,,33.0,35.0,256.0,,122.0,213.0,17.0,100.0,19.0,3.0,1.0,5.0,320.0,58.0,108.0,,,,19619.0
Blanco,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,6.0,,,4.0,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,1.0,1.0,5.0,,,,,,1.0,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,2.0,3.0,,,,,,,,17.0,3.0,3.0,20.0,,,,1.0,1.0,,,2.0,,,,,,,,1.0,,,,,92.0
Borden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bosque,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,3.0,,,4.0,1.0,,,,,1.0,,,,,,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,2.0,,,,,,,,7.0,1.0,1.0,6.0,,,,,2.0,,,2.0,,,,,,,,1.0,,,,,48.0
Bowie,,,,,,,1.0,,,,,,1.0,,1.0,,,2.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,6.0,,,7.0,,,,,,,,1.0,1.0,,4.0,5.0,,4.0,4.0,,,,,2.0,1.0,,,,,,,2.0,3.0,,,1.0,,,,,,,,,5.0,13.0,,3.0,1.0,1.0,1.0,,,,,,,,,2.0,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,5.0,,,,,,,,,,1.0,,3.0,1.0,,,,,,,,44.0,7.0,6.0,20.0,,,,2.0,4.0,,4.0,2.0,,,,,,,,1.0,,,,,182.0
Brazoria,2.0,,,,2.0,11.0,5.0,,9.0,1.0,17.0,5.0,9.0,10.0,17.0,4.0,3.0,23.0,1.0,9.0,9.0,32.0,4.0,2.0,13.0,13.0,,,,,2.0,1.0,31.0,1.0,37.0,47.0,,2.0,44.0,34.0,,,,,4.0,,2.0,8.0,6.0,10.0,33.0,2.0,32.0,74.0,,,,,3.0,2.0,,3.0,,,,,19.0,39.0,4.0,1.0,2.0,5.0,1.0,1.0,,,1.0,,2.0,23.0,68.0,2.0,11.0,4.0,8.0,4.0,2.0,6.0,3.0,2.0,,3.0,2.0,,7.0,7.0,,3.0,9.0,,,,2.0,8.0,10.0,16.0,31.0,1.0,1.0,4.0,,2.0,,,,,1.0,6.0,,,10.0,48.0,,,,,9.0,,5.0,4.0,,18.0,4.0,8.0,17.0,,2.0,,,1.0,1.0,2.0,768.0,168.0,109.0,760.0,,,6.0,4.0,18.0,,17.0,56.0,1.0,4.0,3.0,,,1.0,6.0,2.0,12.0,,,,2964.0
Brazos,1.0,1.0,1.0,,,,1.0,,,,5.0,2.0,2.0,11.0,15.0,,5.0,14.0,1.0,2.0,,9.0,1.0,,,11.0,,,,,,1.0,3.0,,17.0,19.0,,1.0,40.0,35.0,,,,,2.0,1.0,,12.0,6.0,6.0,20.0,,21.0,31.0,,,,,2.0,1.0,,1.0,,,,,8.0,13.0,16.0,,3.0,3.0,,1.0,,,,,,13.0,39.0,,14.0,1.0,3.0,4.0,3.0,2.0,,5.0,1.0,1.0,,,4.0,1.0,,,8.0,,,,,4.0,,5.0,10.0,,1.0,2.0,,,,,,1.0,4.0,4.0,,,8.0,18.0,,,,,5.0,,1.0,,,5.0,,10.0,10.0,,,,,2.0,2.0,,249.0,63.0,39.0,198.0,,,1.0,2.0,22.0,,11.0,9.0,,3.0,2.0,,,,2.0,5.0,8.0,,,,1150.0
Brewster,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,3.0,,,,,1.0,,1.0,,,,,,,,,,,,,,19.0
Briscoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0
Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,5.0
Brown,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,2.0,,1.0,4.0,2.0,,,,,,,,1.0,,1.0,2.0,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,2.0,5.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,45.0
Burleson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,7.0,1.0,1.0,5.0,,,,,1.0,,,,,,,,,,,,1.0,,,,27.0
Burnet,,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,,4.0,,1.0,2.0,1.0,,,,,,,,,,1.0,4.0,,5.0,5.0,,1.0,12.0,4.0,,,,,1.0,,1.0,5.0,,2.0,16.0,,4.0,7.0,,,,,,,,,,,,,4.0,3.0,3.0,,,,,,,,,,,,10.0,1.0,,,,,,1.0,,,,,,,2.0,2.0,,,1.0,,,,,,,1.0,3.0,,1.0,,,,,,,,,1.0,,,,8.0,,,,,,,3.0,,,1.0,,2.0,4.0,,,,,1.0,,,58.0,37.0,14.0,54.0,,,,1.0,11.0,,2.0,6.0,,,1.0,,,,,2.0,4.0,,,,323.0
Caldwell,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,2.0,,3.0,6.0,,,6.0,1.0,,,,,1.0,,,,,1.0,1.0,,5.0,6.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,2.0,4.0,,2.0,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,5.0,,,,,,,,,,,,,1.0,,,,,,,2.0,25.0,7.0,2.0,19.0,,,,,2.0,,2.0,,1.0,,,,,,,,3.0,,,,124.0
Calhoun,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,7.0,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,38.0
Callahan,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,,28.0
Cameron,2.0,1.0,,,1.0,1.0,4.0,,,,1.0,,4.0,6.0,11.0,,1.0,8.0,2.0,1.0,11.0,10.0,,1.0,7.0,2.0,,1.0,,,1.0,1.0,23.0,,14.0,17.0,,2.0,26.0,17.0,,1.0,,,,,,7.0,7.0,4.0,31.0,1.0,6.0,36.0,,,,1.0,1.0,2.0,1.0,,,,,,5.0,10.0,16.0,1.0,,4.0,,,,,,,,17.0,67.0,,5.0,1.0,3.0,5.0,,1.0,,2.0,3.0,1.0,,,3.0,2.0,,2.0,3.0,,1.0,,,2.0,,1.0,3.0,,,1.0,,,1.0,,,,,7.0,1.0,,12.0,25.0,,,,,1.0,,3.0,2.0,,5.0,,2.0,4.0,,1.0,,,,1.0,7.0,452.0,76.0,51.0,220.0,,,2.0,1.0,16.0,,13.0,15.0,,1.0,,,,,2.0,2.0,5.0,,,,1361.0
Camp,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,15.0
Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,8.0
Cass,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,2.0,,,3.0,5.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,,,,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,6.0,3.0,,5.0,,,,,1.0,,1.0,,,,,,,,,,2.0,,,,49.0
Castro,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,10.0
Chambers,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,2.0,,,,,,,,,,3.0,3.0,,,2.0,3.0,,,,,,,1.0,1.0,,,11.0,,1.0,2.0,,,,,,,,,,,,,2.0,1.0,2.0,,,1.0,,,,,,,,4.0,7.0,,1.0,,1.0,,,1.0,,,,,,,2.0,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,3.0,,2.0,,,,,,,,,62.0,13.0,5.0,34.0,,,,,1.0,,1.0,2.0,,,,,,,2.0,,2.0,,,,187.0
Cherokee,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,4.0,,,8.0,6.0,,,,,1.0,,,,,,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,16.0,5.0,4.0,10.0,,,,,3.0,,,,,,,,,,,,1.0,,,,77.0
Childress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,7.0
Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,15.0
Coke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0
Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0
Collin,,10.0,6.0,1.0,16.0,108.0,67.0,1.0,63.0,7.0,177.0,54.0,57.0,131.0,173.0,11.0,30.0,272.0,5.0,63.0,80.0,238.0,19.0,18.0,36.0,173.0,,1.0,1.0,,3.0,9.0,130.0,,203.0,230.0,,11.0,335.0,306.0,,,,,47.0,2.0,14.0,54.0,31.0,34.0,167.0,14.0,160.0,469.0,,1.0,,6.0,12.0,12.0,,21.0,12.0,,,2.0,125.0,126.0,58.0,7.0,8.0,19.0,5.0,6.0,3.0,,,,25.0,119.0,335.0,2.0,140.0,14.0,54.0,33.0,2.0,34.0,11.0,20.0,12.0,37.0,27.0,2.0,48.0,10.0,,81.0,44.0,1.0,,6.0,9.0,73.0,63.0,75.0,203.0,2.0,20.0,40.0,4.0,8.0,1.0,,,13.0,23.0,47.0,9.0,,77.0,381.0,,,,,56.0,,86.0,49.0,,198.0,306.0,195.0,109.0,,14.0,,,3.0,32.0,16.0,6571.0,1504.0,1249.0,8740.0,6.0,,22.0,57.0,236.0,2.0,105.0,327.0,16.0,35.0,28.0,5.0,,3.0,63.0,82.0,186.0,,,,26866.0
Collingsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
Colorado,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,2.0,,3.0,2.0,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,9.0,5.0,3.0,8.0,,,,,1.0,,,,,,,,,,,,1.0,,,,56.0
