County,ALFA ROMEO TONALE,AUDI A3,AUDI A7,AUDI A8,AUDI E-TRON,AUDI E-TRON GT,AUDI E-TRON SPORTBACK,AUDI Q4,AUDI Q5,AUDI Q8,AUDI RS E-TRON GT,BENTLEY BENTAYGA,BENTLEY FLYING SPUR,BMW 330E,BMW 530E,BMW 745E,BMW I3,BMW I4,BMW I5,BMW I7,BMW I8,BMW IX,BMW X3,BMW X5,BMW XM,BRIGHTDROP ZEVO,BYD ELECTRIC TRUCK TRACTOR,CADILLAC CT6,CADILLAC ELR,CADILLAC LYRIQ,CHEVROLET BLAZER EV,CHEVROLET BOLT EUV,CHEVROLET BOLT EV,CHEVROLET SILVERADO EV,CHEVROLET SPARK,CHEVROLET VOLT,CHRYSLER PACIFICA,CODA CODA,DODGE HORNET,FERRARI 296 GTB,FERRARI 296 GTS,FERRARI SF90 STRADALE,FIAT 500,FISKER KARMA,FISKER OCEAN,FORD C-MAX,FORD ESCAPE,FORD F-150,FORD FOCUS,FORD FUSION,FORD MUSTANG MACH-E,FORD RANGER,FORD TRANSIT,FREIGHTLINER ECASCADIA 116” DAY CAB,GEM GEM,GENESIS G80,GENESIS GV60,GENESIS GV70,GILLIG LOW FLOOR BUS,GMC HUMMER EV PICKUP,GMC HUMMER EV SUV,GREENPOWER MOTOR COMPANY INC. EV STAR,HONDA ACCORD,HONDA CLARITY,HONDA PROLOGUE,HYUNDAI IONIQ,HYUNDAI IONIQ 5,HYUNDAI IONIQ 5 N,HYUNDAI IONIQ 6,HYUNDAI KONA ELECTRIC,HYUNDAI SANTA FE,HYUNDAI SONATA,HYUNDAI TUCSON,IC BUS PB10E,INTERNATIONAL MV60E,JAGUAR I-PACE,JEEP GRAND CHEROKEE,JEEP WRANGLER,KARMA REVERO,KIA EV6,KIA EV9,KIA NIRO,KIA OPTIMA,KIA SORENTO,KIA SOUL EV,KIA SPORTAGE,LAND ROVER RANGE ROVER,LEXUS NX,LEXUS RZ,LEXUS TX,LINCOLN AVIATOR,LINCOLN CORSAIR,LION LIONC (V2),LUCID AIR,MAZDA CX-90,MAZDA MX-30,MCLAREN P1,MERCEDES-BENZ B-CLASS,MERCEDES-BENZ C-CLASS,MERCEDES-BENZ EQB-CLASS,MERCEDES-BENZ EQE-CLASS SEDAN,MERCEDES-BENZ EQE-CLASS SUV,MERCEDES-BENZ EQS-CLASS SEDAN,MERCEDES-BENZ EQS-CLASS SUV,MERCEDES-BENZ GLC-CLASS,MERCEDES-BENZ GLE-CLASS,MERCEDES-BENZ S-CLASS,MILES ZX50S AD,MINI COUNTRYMAN,MINI HARDTOP,MITSUBISHI I-MIEV,MITSUBISHI OUTLANDER,NEW FLYER XCELSIOR,NISSAN ARIYA,NISSAN LEAF,PETERBILT 220,PETERBILT 579,POLESTAR PS1,POLESTAR PS2,PORSCHE 918,PORSCHE CAYENNE,PORSCHE PANAMERA,PORSCHE TAYCAN,RIVIAN EDV,RIVIAN R1S,RIVIAN R1T,ROLLS ROYCE SPECTRE,SMART EQ FORTWO,SMART FORTWO ELECTRIC DRIVE,SMITH ELECTRIC VEHICLES SMITH ELECTRIC VEHICLES,SUBARU CROSSTREK,SUBARU SOLTERRA,TESLA CYBERTRUCK,TESLA MODEL 3,TESLA MODEL S,TESLA MODEL X,TESLA MODEL Y,TESLA ROADSTER,TESLA SEMI,TOYOTA BZ4X,TOYOTA PRIUS PLUG-IN,TOYOTA PRIUS PRIME,TOYOTA RAV4,TOYOTA RAV4 PRIME,VINFAST VF 8,VOLKSWAGEN E-GOLF,VOLKSWAGEN ID.4,VOLVO C40,VOLVO S60,VOLVO S90,VOLVO TRUCK VNR,VOLVO V60,VOLVO XC40,VOLVO XC60,VOLVO XC90,WHEEGO ELECTRIC CARS WHEEGO,WORKHORSE E-GEN PLUG IN HYBRID,XOS MDXT,XOS SV01,Grand Total
Fannin,,1.0,,,,,,,,,,,,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,5.0,,,6.0,1.0,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,1.0,3.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,20.0,3.0,4.0,10.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,,158.0
Fayette,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,3.0,,2.0,,,,,,,,,,,,4.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,4.0,,,,2.0,,,,,,,,,1.0,3.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,12.0,1.0,1.0,17.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,134.0
Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,16.0
Foard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
Fort Bend,8.0,7.0,4.0,1.0,85.0,49.0,18.0,82.0,35.0,52.0,,1.0,,63.0,77.0,10.0,67.0,129.0,21.0,19.0,37.0,90.0,13.0,120.0,7.0,,,1.0,11.0,129.0,5.0,81.0,99.0,1.0,6.0,110.0,141.0,,,1.0,1.0,1.0,4.0,3.0,24.0,28.0,24.0,137.0,4.0,51.0,282.0,,17.0,,,,4.0,5.0,,11.0,20.0,,,66.0,,3.0,138.0,,64.0,8.0,4.0,4.0,1.0,,,13.0,58.0,204.0,2.0,77.0,31.0,54.0,2.0,17.0,7.0,6.0,9.0,6.0,46.0,2.0,33.0,11.0,,31.0,31.0,,,7.0,7.0,70.0,30.0,72.0,144.0,2.0,7.0,40.0,11.0,,3.0,14.0,,27.0,,84.0,151.0,,,1.0,38.0,,46.0,26.0,137.0,2.0,114.0,61.0,3.0,,8.0,,2.0,12.0,47.0,3716.0,848.0,798.0,5274.0,1.0,,17.0,23.0,78.0,1.0,68.0,,3.0,212.0,11.0,18.0,2.0,,2.0,17.0,41.0,82.0,,,,,31004.0
Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,38.0
Freestone,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,8.0,3.0,,6.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,70.0
Frio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,34.0
Gains,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,3.0,5.0,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,60.0
Galveston,2.0,,,,14.0,4.0,2.0,6.0,8.0,7.0,,,,15.0,13.0,,18.0,23.0,2.0,2.0,5.0,13.0,1.0,27.0,,,,2.0,2.0,37.0,,20.0,49.0,,1.0,53.0,25.0,,,,,1.0,2.0,,,15.0,8.0,50.0,,23.0,63.0,,8.0,,4.0,,3.0,,,2.0,4.0,,,11.0,,3.0,21.0,,6.0,6.0,,1.0,,,,3.0,20.0,82.0,,17.0,11.0,29.0,1.0,2.0,2.0,4.0,,3.0,2.0,,8.0,7.0,,14.0,6.0,,,,2.0,4.0,2.0,10.0,18.0,,,2.0,4.0,,1.0,8.0,,6.0,,4.0,30.0,,,,5.0,,6.0,5.0,20.0,238.0,17.0,19.0,,,3.0,,,6.0,13.0,506.0,170.0,84.0,504.0,,,8.0,7.0,33.0,,22.0,,2.0,44.0,4.0,2.0,3.0,,,8.0,6.0,8.0,,,,,5254.0
Garza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
Gillespie,,,,,1.0,1.0,,,1.0,,,,,,,,2.0,,,,2.0,,,2.0,,,,,,,,2.0,3.0,,,4.0,3.0,,,,,,,,,1.0,3.0,8.0,,4.0,5.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,2.0,3.0,,1.0,,,,1.0,,,2.0,,,,3.0,1.0,,,1.0,,,,,,,,2.0,,,,,,,3.0,,,,,1.0,,,,,,,1.0,1.0,,3.0,4.0,,,,,,,1.0,31.0,10.0,13.0,28.0,,,1.0,,3.0,,3.0,,,1.0,1.0,,,,,,2.0,1.0,,,,,338.0
Goliad,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,12.0
Gonzales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,1.0,5.0,1.0,,7.0,,,,,2.0,,,,,,,,,,,,,,,,,,56.0
Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,60.0
Grayson,,,,,2.0,1.0,,2.0,2.0,,,,,2.0,5.0,,6.0,2.0,2.0,,,,,2.0,,,,,,5.0,1.0,15.0,20.0,,1.0,23.0,18.0,,,,,,2.0,1.0,,10.0,4.0,11.0,1.0,20.0,26.0,,,,,,,,,3.0,1.0,,,5.0,,3.0,3.0,,,,1.0,,2.0,,,1.0,8.0,21.0,,9.0,2.0,8.0,,2.0,,,,,,,4.0,1.0,,2.0,,,,,1.0,1.0,,,1.0,,,,,,,,,2.0,,6.0,18.0,,,,2.0,,,1.0,1.0,,4.0,1.0,,,,,,2.0,6.0,146.0,35.0,9.0,114.0,,,,3.0,8.0,,4.0,,,7.0,,,1.0,,,1.0,1.0,2.0,,,,,1274.0
Gregg,,,,,1.0,,,,,,,,,2.0,4.0,,1.0,1.0,,,1.0,2.0,,6.0,,,,1.0,,4.0,2.0,5.0,9.0,,,9.0,8.0,,,,,,1.0,,,2.0,1.0,9.0,,6.0,19.0,,,,,,,,,1.0,1.0,,,3.0,,,,,,,,,,,,,15.0,16.0,,4.0,,6.0,,2.0,,,,,,,2.0,,,2.0,3.0,,,,,,1.0,1.0,,,,,,,,,,14.0,,,6.0,,,,,,1.0,1.0,5.0,,,2.0,,,2.0,,1.0,,1.0,73.0,24.0,11.0,62.0,,,1.0,,7.0,,6.0,,,4.0,1.0,1.0,,,,,2.0,5.0,,,,,762.0
Grimes,,,,,,,1.0,1.0,,,,,,1.0,,,3.0,,,,,,,2.0,,,,,,1.0,,1.0,4.0,,,2.0,,,,,,,,,,,,3.0,,1.0,3.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,8.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,3.0,,,,,,,,1.0,,,1.0,,,,,,,,11.0,5.0,5.0,18.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,172.0
Guadalupe,1.0,1.0,1.0,,7.0,5.0,3.0,7.0,4.0,3.0,,,,9.0,6.0,2.0,5.0,5.0,1.0,,1.0,2.0,1.0,10.0,,,,,,7.0,3.0,13.0,19.0,,,27.0,20.0,,,,,,2.0,,1.0,3.0,7.0,18.0,1.0,16.0,38.0,,,,,,,,,,,,,3.0,,1.0,11.0,,2.0,2.0,1.0,1.0,,,,1.0,9.0,28.0,,2.0,1.0,2.0,2.0,1.0,2.0,,,,,,7.0,1.0,,2.0,1.0,,,,,1.0,3.0,3.0,4.0,,1.0,1.0,,,1.0,1.0,1.0,5.0,,2.0,21.0,,,,5.0,,2.0,,2.0,,4.0,4.0,,,1.0,,,2.0,5.0,250.0,58.0,32.0,229.0,,,1.0,5.0,14.0,,10.0,,1.0,15.0,2.0,,1.0,,1.0,1.0,3.0,6.0,,,,,2054.0
Hale,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,5.0,2.0,,,,,,,,,,1.0,9.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,3.0,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,2.0,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,86.0
Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0
Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,36.0
Hansford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,6.0
Hardeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0
Hardin,,,,,,,,,,,,,,4.0,3.0,,,,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,2.0,,,,,,,,,,,1.0,2.0,,3.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,8.0,,4.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,2.0,1.0,,,,,,,,29.0,4.0,4.0,16.0,,,,,5.0,,3.0,,,1.0,,,,,,,1.0,1.0,,,,,224.0
Harris,26.0,43.0,7.0,4.0,322.0,118.0,88.0,211.0,152.0,168.0,9.0,4.0,4.0,232.0,225.0,24.0,326.0,357.0,65.0,38.0,91.0,233.0,43.0,412.0,20.0,,,10.0,38.0,311.0,14.0,549.0,665.0,18.0,21.0,524.0,432.0,1.0,2.0,5.0,1.0,3.0,37.0,9.0,37.0,131.0,117.0,532.0,7.0,282.0,814.0,,117.0,,12.0,38.0,24.0,28.0,,33.0,43.0,,4.0,149.0,2.0,29.0,428.0,1.0,157.0,160.0,4.0,9.0,4.0,10.0,,50.0,413.0,946.0,8.0,240.0,57.0,230.0,8.0,37.0,16.0,39.0,31.0,46.0,81.0,1.0,77.0,30.0,,111.0,85.0,1.0,1.0,6.0,6.0,213.0,96.0,197.0,396.0,8.0,25.0,85.0,16.0,1.0,22.0,74.0,11.0,71.0,,165.0,592.0,,,2.0,125.0,4.0,191.0,97.0,495.0,921.0,521.0,250.0,11.0,,18.0,,10.0,57.0,109.0,9298.0,2544.0,1739.0,8737.0,10.0,,101.0,71.0,345.0,2.0,219.0,,27.0,653.0,54.0,46.0,9.0,,8.0,119.0,200.0,363.0,,,,,81764.0
Harrison,,1.0,,,,,,1.0,,,,,,,1.0,,4.0,,,,,1.0,,3.0,,,,,,,1.0,,1.0,,,3.0,4.0,,,,,,1.0,,,,,3.0,,5.0,6.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,3.0,9.0,,,,1.0,,,,,,,,,3.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,1.0,,,,,,,,26.0,15.0,7.0,22.0,1.0,,1.0,1.0,6.0,,3.0,,,1.0,,,,,,,1.0,2.0,,,,,294.0
Hartley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
Haskell,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,14.0
Hays,3.0,6.0,,,21.0,6.0,8.0,17.0,19.0,8.0,,,2.0,18.0,24.0,,29.0,32.0,3.0,,5.0,10.0,7.0,49.0,2.0,,,1.0,1.0,19.0,2.0,47.0,68.0,,4.0,96.0,52.0,,,,1.0,2.0,3.0,,3.0,19.0,14.0,57.0,,40.0,85.0,,2.0,,1.0,,2.0,1.0,,2.0,3.0,,,25.0,,4.0,42.0,,13.0,9.0,1.0,2.0,,,,3.0,15.0,67.0,,20.0,1.0,36.0,2.0,6.0,5.0,4.0,,5.0,1.0,,9.0,6.0,,2.0,13.0,,,,1.0,8.0,6.0,2.0,7.0,,1.0,2.0,1.0,,3.0,5.0,1.0,7.0,,11.0,72.0,,,,15.0,,7.0,3.0,20.0,57.0,52.0,48.0,,,1.0,,3.0,5.0,25.0,778.0,188.0,108.0,785.0,1.0,,8.0,12.0,48.0,1.0,33.0,,5.0,60.0,6.0,3.0,1.0,1.0,1.0,10.0,15.0,39.0,,,,,7102.0
Hemphill,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,12.0
Henderson,1.0,1.0,,,1.0,,,,2.0,1.0,,,,2.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,3.0,,3.0,7.0,,,12.0,3.0,,,,,,,,,4.0,,5.0,,7.0,4.0,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,2.0,9.0,,1.0,,2.0,,,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,1.0,,1.0,,1.0,,2.0,1.0,,,,,,,,37.0,23.0,4.0,17.0,,,,,6.0,1.0,5.0,,,4.0,,,1.0,,,,1.0,1.0,,,,,394.0
Hidalgo,3.0,1.0,,,12.0,3.0,,15.0,10.0,8.0,1.0,,,31.0,19.0,3.0,18.0,33.0,4.0,,10.0,24.0,1.0,27.0,4.0,,,2.0,2.0,51.0,9.0,21.0,34.0,,2.0,43.0,43.0,,3.0,,,,4.0,,2.0,11.0,15.0,77.0,1.0,15.0,99.0,1.0,4.0,,2.0,,,1.0,,2.0,23.0,,,8.0,,,27.0,,27.0,4.0,,,,,,3.0,108.0,225.0,,20.0,1.0,12.0,,1.0,1.0,4.0,5.0,5.0,14.0,,6.0,2.0,,8.0,7.0,,,2.0,,3.0,5.0,7.0,15.0,,1.0,7.0,,,2.0,2.0,,8.0,,19.0,25.0,,,,2.0,,10.0,6.0,16.0,,9.0,8.0,,,3.0,,,2.0,7.0,643.0,116.0,107.0,556.0,,,9.0,7.0,28.0,,15.0,,,31.0,5.0,4.0,,,,3.0,17.0,27.0,,,,,5818.0
Hill,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,2.0,4.0,,,6.0,2.0,,,,,,,1.0,,2.0,,,,3.0,4.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,2.0,6.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,4.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,17.0,3.0,3.0,13.0,,,,,6.0,,2.0,,,,,,,,,,,1.0,,,,,196.0
Hockley,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,2.0,,,3.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,48.0
Hood,,1.0,,,2.0,,1.0,1.0,4.0,1.0,,,,2.0,3.0,,4.0,2.0,1.0,,,1.0,,8.0,1.0,,,,,4.0,1.0,3.0,12.0,,,8.0,5.0,,,,,,3.0,,1.0,4.0,4.0,5.0,,8.0,6.0,,,,,,,,,,1.0,,,,,,8.0,,1.0,1.0,1.0,1.0,,,,,2.0,21.0,,11.0,1.0,4.0,,1.0,,1.0,,1.0,1.0,,5.0,1.0,,,1.0,,,,,,,,2.0,,,1.0,,,1.0,,,,,3.0,10.0,,,,,,,,1.0,,5.0,2.0,,,1.0,,,1.0,4.0,78.0,20.0,8.0,54.0,,,1.0,,6.0,,3.0,,,3.0,,,,,,3.0,4.0,6.0,1.0,,,,754.0
Hopkins,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,4.0,,,2.0,3.0,,,,,,,,,,1.0,1.0,,3.0,2.0,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,28.0,4.0,3.0,10.0,,,1.0,1.0,2.0,,,,1.0,2.0,,,,,,,1.0,1.0,,,,,174.0
Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,30.0
Howard,,,,,,,,,,,,,,2.0,1.0,,,,,,,,1.0,2.0,1.0,,,,,,,1.0,3.0,,,,,,,,,,1.0,,,1.0,,,,1.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,6.0,1.0,,9.0,,,1.0,2.0,5.0,,,,,,,1.0,,,,,,1.0,,,,,114.0
Hudspeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Hunt,,,,,,,,,1.0,,,,,2.0,,,3.0,2.0,,,,,,1.0,,,,,,2.0,3.0,6.0,21.0,,1.0,20.0,7.0,,,,,,1.0,,,3.0,2.0,5.0,,7.0,16.0,,1.0,,,,,,,1.0,,,,2.0,,,2.0,,1.0,1.0,,,,,,,3.0,15.0,,1.0,,5.0,,,,,,,1.0,,3.0,,,,,,,,,,,2.0,1.0,,,,,,,,,1.0,,1.0,6.0,,,,2.0,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,95.0,16.0,7.0,57.0,,,1.0,,11.0,,1.0,,1.0,4.0,,1.0,,,,,1.0,,,,,,704.0
Hutchinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,2.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,40.0
Irion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0
Jack,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
